,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-02,Foodgrains,Maize,Kilogram,21.0,22.0,21.5,Quintal,1927.0,1927.0,1927.0
2013-01-03,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-04,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-07,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-08,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-09,Foodgrains,Maize,Kilogram,21.0,23.0,22.0,Quintal,1956.0,1956.0,1956.0
2013-01-10,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-11,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-14,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-15,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-16,Foodgrains,Maize,Kilogram,21.0,22.0,21.5,Quintal,2107.0,2107.0,2107.0
2013-01-17,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-18,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-21,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-22,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-23,Foodgrains,Maize,Kilogram,22.0,23.0,22.5,Quintal,2073.0,2073.0,2073.0
2013-01-24,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-25,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-28,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-29,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-01-30,Foodgrains,Maize,Kilogram,22.0,23.0,22.5,Quintal,2060.0,2060.0,2060.0
2013-01-31,Foodgrains,Maize,Kilogram,20.0,22.0,21.0,Quintal,1840.0,1840.0,1840.0
2013-02-01,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-02,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-03,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-04,Foodgrains,Maize,Kilogram,24.0,30.0,27.0,Quintal,1840.0,1840.0,1840.0
2013-02-05,Foodgrains,Maize,Kilogram,28.0,32.0,30.0,Quintal,1840.0,1840.0,1840.0
2013-02-06,Foodgrains,Maize,Kilogram,24.0,26.0,25.0,Quintal,2082.0,2082.0,2082.0
2013-02-07,Foodgrains,Maize,Kilogram,28.0,32.0,30.0,Quintal,1840.0,1840.0,1840.0
2013-02-08,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-09,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-10,Foodgrains,Maize,Kilogram,28.0,32.0,30.0,Quintal,1840.0,1840.0,1840.0
2013-02-11,Foodgrains,Maize,Kilogram,28.0,32.0,30.0,Quintal,1840.0,1840.0,1840.0
2013-02-12,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-13,Foodgrains,Maize,Kilogram,21.0,23.0,22.0,Quintal,2100.0,2100.0,2100.0
2013-02-14,Foodgrains,Maize,Kilogram,32.0,45.0,38.5,Quintal,1840.0,1840.0,1840.0
2013-02-15,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-16,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-17,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-18,Foodgrains,Maize,Kilogram,32.0,45.0,38.5,Quintal,1840.0,1840.0,1840.0
2013-02-19,Foodgrains,Maize,Kilogram,32.0,45.0,38.5,Quintal,1840.0,1840.0,1840.0
2013-02-20,Foodgrains,Maize,Kilogram,24.0,29.0,26.5,Quintal,2028.0,2028.0,2028.0
2013-02-21,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-22,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-23,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-24,Foodgrains,Maize,Kilogram,32.0,45.0,38.5,Quintal,1840.0,1840.0,1840.0
2013-02-25,Foodgrains,Maize,Kilogram,,,,Quintal,,,
2013-02-26,Foodgrains,Maize,Kilogram,32.0,45.0,38.5,Quintal,1840.0,1840.0,1840.0
2013-02-27,Foodgrains,Maize,Kilogram,25.0,31.0,28.0,Quintal,2088.0,2088.0,2088.0
2013-02-28,Foodgrains,Maize,Kilogram,32.0,45.0,38.5,Quintal,1840.0,1840.0,1840.0
