,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Foodgrains,Muri,Kilogram,48.0,56.0,52.0,Quintal,4845.0,4845.0,4845.0
2013-01-03,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-04,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-05,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-06,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-07,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-08,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-09,Foodgrains,Muri,Kilogram,48.0,56.0,52.0,Quintal,4917.0,4917.0,4917.0
2013-01-10,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-11,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-12,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-13,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-14,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-15,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-16,Foodgrains,Muri,Kilogram,49.0,56.0,52.5,Quintal,5066.0,5066.0,5066.0
2013-01-17,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-18,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-19,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-20,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-21,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-22,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-23,Foodgrains,Muri,Kilogram,50.0,54.0,52.0,Quintal,5053.0,5053.0,5053.0
2013-01-24,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-25,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-26,Foodgrains,Muri,Kilogram,,,,Quintal,,,
2013-01-27,Foodgrains,Muri,Kilogram,,,,Quintal,,,
