,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2020-05-14,Foodgrains,Rice-Boro-Fine,Kilogram,19.0,21.0,20.0,Quintal,2134.0,2134.0,2134.0
2020-05-15,Foodgrains,Rice-Boro-Fine,Kilogram,,,,Quintal,,,
2020-05-16,Foodgrains,Rice-Boro-Fine,Kilogram,,,,Quintal,,,
2020-05-17,Foodgrains,Rice-Boro-Fine,Kilogram,23.0,24.0,23.5,Quintal,2220.0,2220.0,2220.0
2020-05-18,Foodgrains,Rice-Boro-Fine,Kilogram,23.0,24.0,23.5,Quintal,2267.0,2267.0,2267.0
2020-05-19,Foodgrains,Rice-Boro-Fine,Kilogram,23.0,24.0,23.5,Quintal,2270.0,2270.0,2270.0
2020-05-20,Foodgrains,Rice-Boro-Fine,Kilogram,23.0,24.0,23.5,Quintal,2246.0,2246.0,2246.0
2020-05-21,Foodgrains,Rice-Boro-Fine,Kilogram,,,,Quintal,,,
2020-05-22,Foodgrains,Rice-Boro-Fine,Kilogram,,,,Quintal,,,
2020-05-23,Foodgrains,Rice-Boro-Fine,Kilogram,,,,Quintal,,,
2020-05-24,Foodgrains,Rice-Boro-Fine,Kilogram,,,,Quintal,,,
2020-05-25,Foodgrains,Rice-Boro-Fine,Kilogram,,,,Quintal,,,
2020-05-26,Foodgrains,Rice-Boro-Fine,Kilogram,,,,Quintal,,,
2020-05-27,Foodgrains,Rice-Boro-Fine,Kilogram,23.0,24.0,23.5,Quintal,2382.0,2382.0,2382.0
2020-05-28,Foodgrains,Rice-Boro-Fine,Kilogram,23.0,24.0,23.5,Quintal,2368.0,2368.0,2368.0
2020-05-29,Foodgrains,Rice-Boro-Fine,Kilogram,,,,Quintal,,,
2020-05-30,Foodgrains,Rice-Boro-Fine,Kilogram,,,,Quintal,,,
2020-05-31,Foodgrains,Rice-Boro-Fine,Kilogram,23.0,24.0,23.5,Quintal,2375.0,2375.0,2375.0
2020-06-01,Foodgrains,Rice-Boro-Fine,Kilogram,23.0,24.0,23.5,Quintal,2371.0,2371.0,2371.0
2020-06-02,Foodgrains,Rice-Boro-Fine,Kilogram,23.0,24.0,23.5,Quintal,2411.0,2411.0,2411.0
