,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2020-05-02,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,2350.0,2350.0,2350.0
2020-05-03,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-04,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-05,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-06,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,2500.0,2500.0,2500.0
2020-05-07,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-08,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-09,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-10,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-11,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-12,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-13,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-14,Foodgrains,Rice-Boro-Medium,Kilogram,422.0,493.0,457.5,Quintal,2107.0,2107.0,2107.0
2020-05-15,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-16,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2375.0,2375.0,2375.0
2020-05-17,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,2146.0,2146.0,2146.0
2020-05-18,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,2180.0,2180.0,2180.0
2020-05-19,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,2186.0,2186.0,2186.0
2020-05-20,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,2175.0,2175.0,2175.0
2020-05-21,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-22,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-23,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-24,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-25,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-26,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-27,Foodgrains,Rice-Boro-Medium,Kilogram,308.0,355.0,331.5,Quintal,2216.0,2216.0,2216.0
2020-05-28,Foodgrains,Rice-Boro-Medium,Kilogram,308.0,355.0,331.5,Quintal,2210.0,2210.0,2210.0
2020-05-29,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-30,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-05-31,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,2206.0,2206.0,2206.0
2020-06-01,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,2225.0,2225.0,2225.0
2020-06-02,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,2225.0,2225.0,2225.0
2020-06-03,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,2264.0,2264.0,2264.0
2020-06-04,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,2226.0,2226.0,2226.0
2020-06-05,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-06-06,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-06-07,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,24.0,23.0,Quintal,2275.0,2275.0,2275.0
2020-06-08,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,24.0,23.0,Quintal,2286.0,2286.0,2286.0
2020-06-09,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,23.0,22.5,Quintal,2318.0,2318.0,2318.0
2020-06-10,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,24.0,23.0,Quintal,2338.0,2338.0,2338.0
2020-06-11,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,24.0,23.0,Quintal,2347.0,2347.0,2347.0
2020-06-12,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-06-13,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-06-14,Foodgrains,Rice-Boro-Medium,Kilogram,22.0,24.0,23.0,Quintal,2350.0,2350.0,2350.0
2020-06-15,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2352.0,2352.0,2352.0
2020-06-16,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2336.0,2336.0,2336.0
2020-06-17,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2336.0,2336.0,2336.0
2020-06-18,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2335.0,2335.0,2335.0
2020-06-19,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-06-20,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-06-21,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2331.0,2331.0,2331.0
2020-06-22,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2334.0,2334.0,2334.0
2020-06-23,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2350.0,2350.0,2350.0
2020-06-24,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,25.0,24.0,Quintal,2377.0,2377.0,2377.0
2020-06-25,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,25.0,24.0,Quintal,2373.0,2373.0,2373.0
2020-06-26,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-06-27,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-06-28,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2381.0,2381.0,2381.0
2020-06-29,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2395.0,2395.0,2395.0
2020-06-30,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2393.0,2393.0,2393.0
2020-07-01,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2400.0,2400.0,2400.0
2020-07-02,Foodgrains,Rice-Boro-Medium,Kilogram,23.0,24.0,23.5,Quintal,2418.0,2418.0,2418.0
2020-07-03,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-07-04,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-07-05,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2418.0,2418.0,2418.0
2020-07-06,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2422.0,2422.0,2422.0
2020-07-07,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2412.0,2412.0,2412.0
2020-07-08,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2402.0,2402.0,2402.0
2020-07-09,Foodgrains,Rice-Boro-Medium,Kilogram,25.0,26.0,25.5,Quintal,2421.0,2421.0,2421.0
2020-07-10,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-07-11,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-07-12,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2370.0,2370.0,2370.0
2020-07-13,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2370.0,2370.0,2370.0
2020-07-14,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2375.0,2375.0,2375.0
2020-07-15,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2380.0,2380.0,2380.0
2020-07-16,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2380.0,2380.0,2380.0
2020-07-17,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-07-18,Foodgrains,Rice-Boro-Medium,Kilogram,,,,Quintal,,,
2020-07-19,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2391.0,2391.0,2391.0
2020-07-20,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2385.0,2385.0,2385.0
2020-07-21,Foodgrains,Rice-Boro-Medium,Kilogram,24.0,25.0,24.5,Quintal,2382.0,2382.0,2382.0
