,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fruit,Apple,Kilogram,130.0,160.0,145.0,Quintal,11050.0,11050.0,11050.0
2013-01-02,Fruit,Apple,Kilogram,136.0,153.0,144.5,Quintal,11401.0,11401.0,11401.0
2013-01-03,Fruit,Apple,Kilogram,130.0,160.0,145.0,Quintal,11250.0,11250.0,11250.0
2013-01-04,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-01-05,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-01-06,Fruit,Apple,Kilogram,130.0,160.0,145.0,Quintal,11250.0,11250.0,11250.0
2013-01-07,Fruit,Apple,Kilogram,130.0,160.0,145.0,Quintal,11250.0,11250.0,11250.0
2013-01-08,Fruit,Apple,Kilogram,130.0,160.0,145.0,Quintal,11250.0,11250.0,11250.0
2013-01-09,Fruit,Apple,Kilogram,135.0,154.0,144.5,Quintal,11001.0,11001.0,11001.0
2013-01-10,Fruit,Apple,Kilogram,130.0,150.0,140.0,Quintal,11050.0,11050.0,11050.0
2013-01-11,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-01-12,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-01-13,Fruit,Apple,Kilogram,130.0,150.0,140.0,Quintal,11050.0,11050.0,11050.0
2013-01-14,Fruit,Apple,Kilogram,130.0,150.0,140.0,Quintal,11050.0,11050.0,11050.0
2013-01-15,Fruit,Apple,Kilogram,130.0,150.0,140.0,Quintal,11050.0,11050.0,11050.0
2013-01-16,Fruit,Apple,Kilogram,135.0,154.0,144.5,Quintal,10963.0,10963.0,10963.0
2013-01-17,Fruit,Apple,Kilogram,130.0,150.0,140.0,Quintal,11050.0,11050.0,11050.0
2013-01-18,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-01-19,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-01-20,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11050.0,11050.0,11050.0
2013-01-21,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11580.0,11580.0,11580.0
2013-01-22,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11580.0,11580.0,11580.0
2013-01-23,Fruit,Apple,Kilogram,132.0,153.0,142.5,Quintal,12892.0,12892.0,12892.0
2013-01-24,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11700.0,11700.0,11700.0
2013-01-25,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-01-26,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-01-27,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,10000.0,10000.0,10000.0
2013-01-28,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11050.0,11050.0,11050.0
2013-01-29,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11050.0,11050.0,11050.0
2013-01-30,Fruit,Apple,Kilogram,126.0,146.0,136.0,Quintal,11893.0,11893.0,11893.0
2013-01-31,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11000.0,11000.0,11000.0
2013-02-01,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-02,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-03,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-04,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11000.0,11000.0,11000.0
2013-02-05,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11000.0,11000.0,11000.0
2013-02-06,Fruit,Apple,Kilogram,128.0,148.0,138.0,Quintal,13077.0,13077.0,13077.0
2013-02-07,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11000.0,11000.0,11000.0
2013-02-08,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-09,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-10,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,10200.0,10200.0,10200.0
2013-02-11,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,10200.0,10200.0,10200.0
2013-02-12,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-13,Fruit,Apple,Kilogram,128.0,149.0,138.5,Quintal,13182.0,13182.0,13182.0
2013-02-14,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,11000.0,11000.0,11000.0
2013-02-15,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-16,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-17,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-18,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,13000.0,13000.0,13000.0
2013-02-19,Fruit,Apple,Kilogram,120.0,150.0,135.0,Quintal,13000.0,13000.0,13000.0
2013-02-20,Fruit,Apple,Kilogram,127.0,148.0,137.5,Quintal,12909.0,12909.0,12909.0
2013-02-21,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-22,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-23,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-24,Fruit,Apple,Kilogram,120.0,170.0,145.0,Quintal,13000.0,13000.0,13000.0
2013-02-25,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-02-26,Fruit,Apple,Kilogram,120.0,180.0,150.0,Quintal,13100.0,13100.0,13100.0
2013-02-27,Fruit,Apple,Kilogram,127.0,149.0,138.0,Quintal,12773.0,12773.0,12773.0
2013-02-28,Fruit,Apple,Kilogram,125.0,155.0,140.0,Quintal,13500.0,13500.0,13500.0
2013-03-01,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-03-02,Fruit,Apple,Kilogram,,,,Quintal,,,
2013-03-03,Fruit,Apple,Kilogram,130.0,180.0,155.0,Quintal,13500.0,13500.0,13500.0
2013-03-04,Fruit,Apple,Kilogram,130.0,180.0,155.0,Quintal,13500.0,13500.0,13500.0
2013-03-05,Fruit,Apple,Kilogram,,,,Quintal,,,
