,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fruit,Banana-Sabri (high quality),4 Pieces,16.0,19.0,17.5,80 Pieces,264.0,264.0,264.0
2013-01-03,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-04,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-05,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-06,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-07,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-08,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-09,Fruit,Banana-Sabri (high quality),4 Pieces,15.0,19.0,17.0,80 Pieces,264.0,264.0,264.0
2013-01-10,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-11,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-12,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-13,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-14,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-15,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-16,Fruit,Banana-Sabri (high quality),4 Pieces,15.0,19.0,17.0,80 Pieces,278.0,278.0,278.0
2013-01-17,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-18,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-19,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-20,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-21,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-22,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-23,Fruit,Banana-Sabri (high quality),4 Pieces,14.0,17.0,15.5,80 Pieces,279.0,279.0,279.0
2013-01-24,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-25,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-26,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-27,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-28,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-29,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-01-30,Fruit,Banana-Sabri (high quality),4 Pieces,14.0,18.0,16.0,80 Pieces,286.0,286.0,286.0
2013-01-31,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-02-01,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-02-02,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
2013-02-03,Fruit,Banana-Sabri (high quality),4 Pieces,,,,80 Pieces,,,
