,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2000.0,2000.0,2000.0
2013-01-02,Fruit,Green-Coconut,1 piece,21.0,27.0,24.0,100 pieces,2233.0,2233.0,2233.0
2013-01-03,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2000.0,2000.0,2000.0
2013-01-04,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
2013-01-05,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
2013-01-06,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2000.0,2000.0,2000.0
2013-01-07,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2000.0,2000.0,2000.0
2013-01-08,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2000.0,2000.0,2000.0
2013-01-09,Fruit,Green-Coconut,1 piece,21.0,26.0,23.5,100 pieces,2220.0,2220.0,2220.0
2013-01-10,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2200.0,2200.0,2200.0
2013-01-11,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
2013-01-12,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
2013-01-13,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2000.0,2000.0,2000.0
2013-01-14,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2000.0,2000.0,2000.0
2013-01-15,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2000.0,2000.0,2000.0
2013-01-16,Fruit,Green-Coconut,1 piece,20.0,26.0,23.0,100 pieces,2175.0,2175.0,2175.0
2013-01-17,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2000.0,2000.0,2000.0
2013-01-18,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
2013-01-19,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
2013-01-20,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2200.0,2200.0,2200.0
2013-01-21,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2200.0,2200.0,2200.0
2013-01-22,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2200.0,2200.0,2200.0
2013-01-23,Fruit,Green-Coconut,1 piece,19.0,24.0,21.5,100 pieces,2100.0,2100.0,2100.0
2013-01-24,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2200.0,2200.0,2200.0
2013-01-25,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
2013-01-26,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
2013-01-27,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2200.0,2200.0,2200.0
2013-01-28,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2200.0,2200.0,2200.0
2013-01-29,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2200.0,2200.0,2200.0
2013-01-30,Fruit,Green-Coconut,1 piece,20.0,26.0,23.0,100 pieces,2050.0,2050.0,2050.0
2013-01-31,Fruit,Green-Coconut,1 piece,20.0,35.0,27.5,100 pieces,2200.0,2200.0,2200.0
2013-02-01,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
2013-02-02,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
2013-02-03,Fruit,Green-Coconut,1 piece,,,,100 pieces,,,
