,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2024-04-16,Fruit,Guava (Thai),Kilogram,50.0,60.0,55.0,Quintal,4500.0,4500.0,4500.0
2024-04-17,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-04-18,Fruit,Guava (Thai),Kilogram,50.0,60.0,55.0,Quintal,4500.0,4500.0,4500.0
2024-04-19,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-04-20,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-04-21,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-04-22,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-04-23,Fruit,Guava (Thai),Kilogram,50.0,60.0,55.0,Quintal,4500.0,4500.0,4500.0
2024-04-24,Fruit,Guava (Thai),Kilogram,50.0,60.0,55.0,Quintal,4500.0,4500.0,4500.0
2024-04-25,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-04-26,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-04-27,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-04-28,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-04-29,Fruit,Guava (Thai),Kilogram,50.0,60.0,55.0,Quintal,4500.0,4500.0,4500.0
2024-04-30,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-01,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-02,Fruit,Guava (Thai),Kilogram,50.0,60.0,55.0,Quintal,4500.0,4500.0,4500.0
2024-05-03,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-04,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-05,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-06,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-07,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-08,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-09,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-10,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-11,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-12,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-13,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-14,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-15,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-16,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-17,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-18,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-19,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-20,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-21,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-22,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-23,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-24,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-25,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-05-26,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-27,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-28,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-29,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-30,Fruit,Guava (Thai),Kilogram,65.0,70.0,67.5,Quintal,6000.0,6000.0,6000.0
2024-05-31,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
2024-06-01,Fruit,Guava (Thai),Kilogram,,,,Quintal,,,
