,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-03-06,Fruit,Guava,1 KG,3.0,5.0,4.0,Quintal,,,
2013-03-07,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-08,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-09,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-10,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-11,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-12,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-13,Fruit,Guava,1 KG,3.0,5.0,4.0,Quintal,400.0,400.0,400.0
2013-03-14,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-15,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-16,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-17,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-18,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-19,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-20,Fruit,Guava,1 KG,3.0,5.0,4.0,Quintal,400.0,400.0,400.0
2013-03-21,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-22,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-23,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-24,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-25,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-26,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-27,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-28,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-29,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-30,Fruit,Guava,1 KG,,,,Quintal,,,
2013-03-31,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-01,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-02,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-03,Fruit,Guava,1 KG,3.0,5.0,4.0,Quintal,400.0,400.0,400.0
2013-04-04,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-05,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-06,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-07,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-08,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-09,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-10,Fruit,Guava,1 KG,3.0,5.0,4.0,Quintal,400.0,400.0,400.0
2013-04-11,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-12,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-13,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-14,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-15,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-16,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-17,Fruit,Guava,1 KG,3.0,5.0,4.0,Quintal,400.0,400.0,400.0
2013-04-18,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-19,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-20,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-21,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-22,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-23,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-24,Fruit,Guava,1 KG,3.0,5.0,4.0,Quintal,400.0,400.0,400.0
2013-04-25,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-26,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-27,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-28,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-29,Fruit,Guava,1 KG,,,,Quintal,,,
2013-04-30,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-01,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-02,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-03,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-04,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-05,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-06,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-07,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-08,Fruit,Guava,1 KG,3.0,5.0,4.0,Quintal,,,
2013-05-09,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-10,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-11,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-12,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-13,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-14,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-15,Fruit,Guava,1 KG,3.0,5.0,4.0,Quintal,400.0,400.0,400.0
2013-05-16,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-17,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-18,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-19,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-20,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-21,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-22,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-23,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-24,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-25,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-26,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-27,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-28,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-29,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-30,Fruit,Guava,1 KG,,,,Quintal,,,
2013-05-31,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-01,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-02,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-03,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-04,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-05,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-06,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-07,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-08,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-09,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-10,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-11,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-12,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-13,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-14,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-15,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-16,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-17,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-18,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-19,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-20,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-21,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-22,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-23,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-24,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-25,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-26,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-27,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-28,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-29,Fruit,Guava,1 KG,,,,Quintal,,,
2013-06-30,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-01,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-02,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-03,Fruit,Guava,1 KG,60.0,70.0,65.0,Quintal,3400.0,3400.0,3400.0
2013-07-04,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-05,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-06,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-07,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-08,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-09,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-10,Fruit,Guava,1 KG,43.0,55.0,49.0,Quintal,3900.0,3900.0,3900.0
2013-07-11,Fruit,Guava,1 KG,2.0,3.0,2.5,Quintal,,,
2013-07-12,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-13,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-14,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-15,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-16,Fruit,Guava,1 KG,,,,Quintal,2000.0,2000.0,2000.0
2013-07-17,Fruit,Guava,1 KG,20.0,25.0,22.5,Quintal,2600.0,2600.0,2600.0
2013-07-18,Fruit,Guava,1 KG,,,,Quintal,2000.0,2000.0,2000.0
2013-07-19,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-20,Fruit,Guava,1 KG,,,,Quintal,,,
2013-07-21,Fruit,Guava,1 KG,,,,Quintal,2000.0,2000.0,2000.0
2013-07-22,Fruit,Guava,1 KG,18.0,20.0,19.0,Quintal,2000.0,2000.0,2000.0
2013-07-23,Fruit,Guava,1 KG,,,,Quintal,1200.0,1200.0,1200.0
