,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-04-03,Fruit,Jackfruit-big (above 4 kg),1 piece,150.0,200.0,175.0,100 pieces,,,
2013-04-04,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-05,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-06,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-07,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-08,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-09,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-10,Fruit,Jackfruit-big (above 4 kg),1 piece,150.0,200.0,175.0,100 pieces,,,
2013-04-11,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-12,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-13,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-14,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-15,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-16,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-17,Fruit,Jackfruit-big (above 4 kg),1 piece,150.0,200.0,175.0,100 pieces,,,
2013-04-18,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-19,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-20,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-21,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-22,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-23,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-24,Fruit,Jackfruit-big (above 4 kg),1 piece,120.0,160.0,140.0,100 pieces,,,
2013-04-25,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-26,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-27,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-28,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-29,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-04-30,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-01,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-02,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-03,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-04,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-05,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-06,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-07,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-08,Fruit,Jackfruit-big (above 4 kg),1 piece,100.0,150.0,125.0,100 pieces,,,
2013-05-09,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-10,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-11,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-12,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-13,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-14,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-15,Fruit,Jackfruit-big (above 4 kg),1 piece,75.0,110.0,92.5,100 pieces,10000.0,10000.0,10000.0
2013-05-16,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-17,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-18,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-19,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-20,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-21,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-22,Fruit,Jackfruit-big (above 4 kg),1 piece,70.0,85.0,77.5,100 pieces,8000.0,8000.0,8000.0
2013-05-23,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-24,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-25,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-26,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-27,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
2013-05-28,Fruit,Jackfruit-big (above 4 kg),1 piece,,,,100 pieces,,,
