,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fruit,Khejur (date),Kilogram,80.0,130.0,105.0,Quintal,16000.0,16000.0,16000.0
2013-01-03,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-04,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-05,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-06,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-07,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-08,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-09,Fruit,Khejur (date),Kilogram,80.0,130.0,105.0,Quintal,16000.0,16000.0,16000.0
2013-01-10,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-11,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-12,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-13,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-14,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-15,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-16,Fruit,Khejur (date),Kilogram,80.0,130.0,105.0,Quintal,16000.0,16000.0,16000.0
2013-01-17,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-18,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-19,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-20,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-21,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-22,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-23,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-01-24,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-25,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-26,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-27,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-28,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-29,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-01-30,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-01-31,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-01,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-02,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-03,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-04,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-05,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-06,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-02-07,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-08,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-09,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-10,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-11,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-12,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-13,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-02-14,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-15,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-16,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-17,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-18,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-19,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-20,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-02-21,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-22,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-23,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-24,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-25,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-26,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-02-27,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-02-28,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-01,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-02,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-03,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-04,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-05,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-06,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-03-07,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-08,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-09,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-10,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-11,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-12,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-13,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-03-14,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-15,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-16,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-17,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-18,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-19,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-20,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-03-21,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-22,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-23,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-24,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-25,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-26,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-27,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-03-28,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-29,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-30,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-03-31,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-01,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-02,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-03,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-04-04,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-05,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-06,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-07,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-08,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-09,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-10,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-04-11,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-12,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-13,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-14,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-15,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-16,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-17,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-04-18,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-19,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-20,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-21,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-22,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-23,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-24,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-04-25,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-26,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-27,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-28,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-29,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-04-30,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-01,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-02,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,12000.0,12000.0,12000.0
2013-05-03,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-04,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-05,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-06,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-07,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-08,Fruit,Khejur (date),Kilogram,80.0,140.0,110.0,Quintal,16000.0,16000.0,16000.0
2013-05-09,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-10,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-11,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-12,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-13,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-14,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-15,Fruit,Khejur (date),Kilogram,80.0,110.0,95.0,Quintal,16000.0,16000.0,16000.0
2013-05-16,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-17,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-18,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-19,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-20,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-21,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-22,Fruit,Khejur (date),Kilogram,80.0,110.0,95.0,Quintal,16000.0,16000.0,16000.0
2013-05-23,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-24,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
2013-05-25,Fruit,Khejur (date),Kilogram,,,,Quintal,,,
