,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-05-08,Fruit,Lychee,100 pieces,225.0,325.0,275.0,1000 Pieces,1800.0,1800.0,1800.0
2013-05-09,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-10,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-11,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-12,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-13,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-14,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-15,Fruit,Lychee,100 pieces,148.0,229.0,188.5,1000 Pieces,1933.0,1933.0,1933.0
2013-05-16,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-17,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-18,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-19,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-20,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-21,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-22,Fruit,Lychee,100 pieces,159.0,240.0,199.5,1000 Pieces,7925.0,7925.0,7925.0
2013-05-23,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-24,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-25,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-26,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-27,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-28,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-29,Fruit,Lychee,100 pieces,171.0,242.0,206.5,1000 Pieces,7925.0,7925.0,7925.0
2013-05-30,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-05-31,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-01,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-02,Fruit,Lychee,100 pieces,250.0,280.0,265.0,1000 Pieces,,,
2013-06-03,Fruit,Lychee,100 pieces,265.0,290.0,277.5,1000 Pieces,2500.0,2500.0,2500.0
2013-06-04,Fruit,Lychee,100 pieces,265.0,290.0,277.5,1000 Pieces,2500.0,2500.0,2500.0
2013-06-05,Fruit,Lychee,100 pieces,247.0,298.0,272.5,1000 Pieces,8750.0,8750.0,8750.0
2013-06-06,Fruit,Lychee,100 pieces,214.0,284.0,249.0,1000 Pieces,10250.0,10250.0,10250.0
2013-06-07,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-08,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-09,Fruit,Lychee,100 pieces,308.0,345.0,326.5,1000 Pieces,3800.0,3800.0,3800.0
2013-06-10,Fruit,Lychee,100 pieces,328.0,360.0,344.0,1000 Pieces,3800.0,3800.0,3800.0
2013-06-11,Fruit,Lychee,100 pieces,328.0,360.0,344.0,1000 Pieces,3800.0,3800.0,3800.0
2013-06-12,Fruit,Lychee,100 pieces,303.0,380.0,341.5,1000 Pieces,6575.0,6575.0,6575.0
2013-06-13,Fruit,Lychee,100 pieces,315.0,350.0,332.5,1000 Pieces,,,
2013-06-14,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-15,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-16,Fruit,Lychee,100 pieces,315.0,350.0,332.5,1000 Pieces,,,
2013-06-17,Fruit,Lychee,100 pieces,280.0,300.0,290.0,1000 Pieces,,,
2013-06-18,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-19,Fruit,Lychee,100 pieces,210.0,260.0,235.0,1000 Pieces,,,
2013-06-20,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-21,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-22,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-23,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-24,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-25,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-26,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-27,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-28,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-29,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-06-30,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-01,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-02,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-03,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-04,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-05,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-06,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-07,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-08,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-09,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-10,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-11,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-12,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-13,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-14,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-15,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-16,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-17,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-18,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-19,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-20,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-21,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-22,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-23,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-24,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-25,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-26,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-27,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-28,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-29,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-30,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
2013-07-31,Fruit,Lychee,100 pieces,,,,1000 Pieces,,,
