,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2023-10-03,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-04,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-05,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-06,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-10-07,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-10-08,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-09,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-10,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-11,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-12,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-13,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-10-14,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-10-15,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-16,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-17,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-18,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-19,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-20,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-10-21,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-10-22,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-23,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-24,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-10-25,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-26,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-27,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-10-28,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-10-29,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-30,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-10-31,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-01,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-02,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-03,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-11-04,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-11-05,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-06,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-07,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-08,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-09,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-10,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-11-11,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-11-12,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-13,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-14,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-11-15,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-16,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-17,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-11-18,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-11-19,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-20,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-21,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-22,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-23,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-24,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-11-25,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-11-26,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-27,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-28,Fruit,Malta,Kilogram,290.0,300.0,295.0,Kilogram,27000.0,27000.0,27000.0
2023-11-29,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-11-30,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-01,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-02,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-03,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-04,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-05,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-06,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-07,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-08,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-09,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-10,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-11,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-12,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-13,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-14,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-15,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-16,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-17,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-18,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-19,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-20,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-21,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-22,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-23,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-24,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-25,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-26,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-27,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-28,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-29,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-30,Fruit,Malta,Kilogram,,,,Kilogram,,,
2023-12-31,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-01,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-02,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-03,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-04,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-05,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-06,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-07,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-08,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-09,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-10,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-11,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-12,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-13,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-14,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-15,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-16,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-17,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-18,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-01-19,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-20,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-21,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-01-22,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-01-23,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-01-24,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-01-25,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-01-26,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-27,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-01-28,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-01-29,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-01-30,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-01-31,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-01,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-02,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-02-03,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-02-04,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-05,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-06,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-07,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-08,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-09,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-02-10,Fruit,Malta,Kilogram,,,,Kilogram,,,
2024-02-11,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-12,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-13,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-14,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-15,Fruit,Malta,Kilogram,280.0,290.0,285.0,Kilogram,26000.0,26000.0,26000.0
2024-02-16,Fruit,Malta,Kilogram,,,,Kilogram,,,
