,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2014-01-04,Fruit,Mango-Amropali,Kilogram,60.0,70.0,65.0,Quintal,6000.0,6000.0,6000.0
2014-01-05,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-06,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-07,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-08,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-09,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-10,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-11,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-12,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-13,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-14,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-15,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-16,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-17,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-18,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-19,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-20,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-21,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-22,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-23,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-24,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-25,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-26,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-27,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-28,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-29,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-30,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-01-31,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-02-01,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-02-02,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-02-03,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
2014-02-04,Fruit,Mango-Amropali,Kilogram,,,,Quintal,,,
