,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-06-18,Fruit,Mango-Fazli,Kilogram,50.0,60.0,55.0,Quintal,5000.0,5000.0,5000.0
2013-06-19,Fruit,Mango-Fazli,Kilogram,55.0,63.0,59.0,Quintal,5000.0,5000.0,5000.0
2013-06-20,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-06-21,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-06-22,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-06-23,Fruit,Mango-Fazli,Kilogram,50.0,60.0,55.0,Quintal,5000.0,5000.0,5000.0
2013-06-24,Fruit,Mango-Fazli,Kilogram,50.0,60.0,55.0,Quintal,5000.0,5000.0,5000.0
2013-06-25,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-06-26,Fruit,Mango-Fazli,Kilogram,55.0,63.0,59.0,Quintal,4750.0,4750.0,4750.0
2013-06-27,Fruit,Mango-Fazli,Kilogram,50.0,60.0,55.0,Quintal,5000.0,5000.0,5000.0
2013-06-28,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-06-29,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-06-30,Fruit,Mango-Fazli,Kilogram,50.0,60.0,55.0,Quintal,5000.0,5000.0,5000.0
2013-07-01,Fruit,Mango-Fazli,Kilogram,50.0,60.0,55.0,Quintal,5000.0,5000.0,5000.0
2013-07-02,Fruit,Mango-Fazli,Kilogram,50.0,60.0,55.0,Quintal,5000.0,5000.0,5000.0
2013-07-03,Fruit,Mango-Fazli,Kilogram,52.0,60.0,56.0,Quintal,5050.0,5050.0,5050.0
2013-07-04,Fruit,Mango-Fazli,Kilogram,50.0,60.0,55.0,Quintal,5000.0,5000.0,5000.0
2013-07-05,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-07-06,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-07-07,Fruit,Mango-Fazli,Kilogram,63.0,70.0,66.5,Quintal,5333.0,5333.0,5333.0
2013-07-08,Fruit,Mango-Fazli,Kilogram,63.0,70.0,66.5,Quintal,5500.0,5500.0,5500.0
2013-07-09,Fruit,Mango-Fazli,Kilogram,68.0,73.0,70.5,Quintal,5433.0,5433.0,5433.0
2013-07-10,Fruit,Mango-Fazli,Kilogram,61.0,67.0,64.0,Quintal,5891.0,5891.0,5891.0
2013-07-11,Fruit,Mango-Fazli,Kilogram,60.0,68.0,64.0,Quintal,5929.0,5929.0,5929.0
2013-07-12,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-07-13,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-07-14,Fruit,Mango-Fazli,Kilogram,68.0,75.0,71.5,Quintal,6280.0,6280.0,6280.0
2013-07-15,Fruit,Mango-Fazli,Kilogram,68.0,75.0,71.5,Quintal,6280.0,6280.0,6280.0
2013-07-16,Fruit,Mango-Fazli,Kilogram,68.0,75.0,71.5,Quintal,5850.0,5850.0,5850.0
2013-07-17,Fruit,Mango-Fazli,Kilogram,68.0,78.0,73.0,Quintal,6388.0,6388.0,6388.0
2013-07-18,Fruit,Mango-Fazli,Kilogram,68.0,76.0,72.0,Quintal,6300.0,6300.0,6300.0
2013-07-19,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-07-20,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-07-21,Fruit,Mango-Fazli,Kilogram,69.0,78.0,73.5,Quintal,6929.0,6929.0,6929.0
2013-07-22,Fruit,Mango-Fazli,Kilogram,71.0,79.0,75.0,Quintal,7300.0,7300.0,7300.0
2013-07-23,Fruit,Mango-Fazli,Kilogram,84.0,93.0,88.5,Quintal,7333.0,7333.0,7333.0
2013-07-24,Fruit,Mango-Fazli,Kilogram,82.0,94.0,88.0,Quintal,7994.0,7994.0,7994.0
2013-07-25,Fruit,Mango-Fazli,Kilogram,86.0,96.0,91.0,Quintal,7883.0,7883.0,7883.0
2013-07-26,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-07-27,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-07-28,Fruit,Mango-Fazli,Kilogram,89.0,101.0,95.0,Quintal,7686.0,7686.0,7686.0
2013-07-29,Fruit,Mango-Fazli,Kilogram,89.0,101.0,95.0,Quintal,8300.0,8300.0,8300.0
2013-07-30,Fruit,Mango-Fazli,Kilogram,91.0,107.0,99.0,Quintal,7900.0,7900.0,7900.0
2013-07-31,Fruit,Mango-Fazli,Kilogram,91.0,107.0,99.0,Quintal,9042.0,9042.0,9042.0
2013-08-01,Fruit,Mango-Fazli,Kilogram,97.0,118.0,107.5,Quintal,20857.0,20857.0,20857.0
2013-08-02,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-03,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-04,Fruit,Mango-Fazli,Kilogram,98.0,118.0,108.0,Quintal,23083.0,23083.0,23083.0
2013-08-05,Fruit,Mango-Fazli,Kilogram,108.0,125.0,116.5,Quintal,23317.0,23317.0,23317.0
2013-08-06,Fruit,Mango-Fazli,Kilogram,100.0,120.0,110.0,Quintal,11000.0,11000.0,11000.0
2013-08-07,Fruit,Mango-Fazli,Kilogram,111.0,125.0,118.0,Quintal,19211.0,19211.0,19211.0
2013-08-08,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-09,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-10,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-11,Fruit,Mango-Fazli,Kilogram,110.0,125.0,117.5,Quintal,30125.0,30125.0,30125.0
2013-08-12,Fruit,Mango-Fazli,Kilogram,110.0,125.0,117.5,Quintal,10000.0,10000.0,10000.0
2013-08-13,Fruit,Mango-Fazli,Kilogram,108.0,120.0,114.0,Quintal,10000.0,10000.0,10000.0
2013-08-14,Fruit,Mango-Fazli,Kilogram,110.0,122.0,116.0,Quintal,10560.0,10560.0,10560.0
2013-08-15,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-16,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-17,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-18,Fruit,Mango-Fazli,Kilogram,97.0,110.0,103.5,Quintal,10000.0,10000.0,10000.0
2013-08-19,Fruit,Mango-Fazli,Kilogram,95.0,115.0,105.0,Quintal,10000.0,10000.0,10000.0
2013-08-20,Fruit,Mango-Fazli,Kilogram,97.0,110.0,103.5,Quintal,10000.0,10000.0,10000.0
2013-08-21,Fruit,Mango-Fazli,Kilogram,103.0,112.0,107.5,Quintal,10500.0,10500.0,10500.0
2013-08-22,Fruit,Mango-Fazli,Kilogram,105.0,113.0,109.0,Quintal,10500.0,10500.0,10500.0
2013-08-23,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-24,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-25,Fruit,Mango-Fazli,Kilogram,105.0,113.0,109.0,Quintal,10500.0,10500.0,10500.0
2013-08-26,Fruit,Mango-Fazli,Kilogram,115.0,120.0,117.5,Quintal,10000.0,10000.0,10000.0
2013-08-27,Fruit,Mango-Fazli,Kilogram,108.0,110.0,109.0,Quintal,,,
2013-08-28,Fruit,Mango-Fazli,Kilogram,80.0,90.0,85.0,Quintal,,,
2013-08-29,Fruit,Mango-Fazli,Kilogram,95.0,100.0,97.5,Quintal,,,
2013-08-30,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-08-31,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-01,Fruit,Mango-Fazli,Kilogram,100.0,100.0,100.0,Quintal,12000.0,12000.0,12000.0
2013-09-02,Fruit,Mango-Fazli,Kilogram,100.0,100.0,100.0,Quintal,,,
2013-09-03,Fruit,Mango-Fazli,Kilogram,100.0,100.0,100.0,Quintal,,,
2013-09-04,Fruit,Mango-Fazli,Kilogram,103.0,110.0,106.5,Quintal,,,
2013-09-05,Fruit,Mango-Fazli,Kilogram,100.0,100.0,100.0,Quintal,,,
2013-09-06,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-07,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-08,Fruit,Mango-Fazli,Kilogram,100.0,100.0,100.0,Quintal,,,
2013-09-09,Fruit,Mango-Fazli,Kilogram,100.0,100.0,100.0,Quintal,,,
2013-09-10,Fruit,Mango-Fazli,Kilogram,100.0,100.0,100.0,Quintal,,,
2013-09-11,Fruit,Mango-Fazli,Kilogram,107.0,117.0,112.0,Quintal,,,
2013-09-12,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-13,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-14,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-15,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-16,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-17,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-18,Fruit,Mango-Fazli,Kilogram,140.0,150.0,145.0,Quintal,,,
2013-09-19,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-20,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-21,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-22,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-23,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
2013-09-24,Fruit,Mango-Fazli,Kilogram,,,,Quintal,,,
