,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-05-22,Fruit,Mango-Himsagar,Kilogram,120.0,140.0,130.0,Quintal,8500.0,8500.0,8500.0
2013-05-23,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-05-24,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-05-25,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-05-26,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-05-27,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-05-28,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-05-29,Fruit,Mango-Himsagar,Kilogram,120.0,130.0,125.0,Quintal,11000.0,11000.0,11000.0
2013-05-30,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-05-31,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-06-01,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-06-02,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-06-03,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-06-04,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-06-05,Fruit,Mango-Himsagar,Kilogram,69.0,76.0,72.5,Quintal,6625.0,6625.0,6625.0
2013-06-06,Fruit,Mango-Himsagar,Kilogram,50.0,55.0,52.5,Quintal,5150.0,5150.0,5150.0
2013-06-07,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-06-08,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,,,
2013-06-09,Fruit,Mango-Himsagar,Kilogram,,,,Quintal,5000.0,5000.0,5000.0
2013-06-10,Fruit,Mango-Himsagar,Kilogram,35.0,45.0,40.0,Quintal,4200.0,4200.0,4200.0
2013-06-11,Fruit,Mango-Himsagar,Kilogram,35.0,45.0,40.0,Quintal,4200.0,4200.0,4200.0
