,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-05-22,Fruit,Mango-Langra,Kilogram,120.0,140.0,130.0,Quintal,12000.0,12000.0,12000.0
2013-05-23,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-05-24,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-05-25,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-05-26,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-05-27,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-05-28,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-05-29,Fruit,Mango-Langra,Kilogram,120.0,130.0,125.0,Quintal,11000.0,11000.0,11000.0
2013-05-30,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-05-31,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-01,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-02,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-03,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-04,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-05,Fruit,Mango-Langra,Kilogram,73.0,83.0,78.0,Quintal,7125.0,7125.0,7125.0
2013-06-06,Fruit,Mango-Langra,Kilogram,55.0,60.0,57.5,Quintal,5200.0,5200.0,5200.0
2013-06-07,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-08,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-09,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-10,Fruit,Mango-Langra,Kilogram,40.0,50.0,45.0,Quintal,4500.0,4500.0,4500.0
2013-06-11,Fruit,Mango-Langra,Kilogram,63.0,73.0,68.0,Quintal,4500.0,4500.0,4500.0
2013-06-12,Fruit,Mango-Langra,Kilogram,61.0,70.0,65.5,Quintal,5338.0,5338.0,5338.0
2013-06-13,Fruit,Mango-Langra,Kilogram,62.0,70.0,66.0,Quintal,4600.0,4600.0,4600.0
2013-06-14,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-15,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-16,Fruit,Mango-Langra,Kilogram,62.0,70.0,66.0,Quintal,4733.0,4733.0,4733.0
2013-06-17,Fruit,Mango-Langra,Kilogram,62.0,70.0,66.0,Quintal,4600.0,4600.0,4600.0
2013-06-18,Fruit,Mango-Langra,Kilogram,62.0,72.0,67.0,Quintal,4850.0,4850.0,4850.0
2013-06-19,Fruit,Mango-Langra,Kilogram,58.0,66.0,62.0,Quintal,5350.0,5350.0,5350.0
2013-06-20,Fruit,Mango-Langra,Kilogram,85.0,95.0,90.0,Quintal,6250.0,6250.0,6250.0
2013-06-21,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-22,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-23,Fruit,Mango-Langra,Kilogram,62.0,72.0,67.0,Quintal,5833.0,5833.0,5833.0
2013-06-24,Fruit,Mango-Langra,Kilogram,62.0,72.0,67.0,Quintal,5250.0,5250.0,5250.0
2013-06-25,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-26,Fruit,Mango-Langra,Kilogram,58.0,66.0,62.0,Quintal,5354.0,5354.0,5354.0
2013-06-27,Fruit,Mango-Langra,Kilogram,68.0,78.0,73.0,Quintal,6000.0,6000.0,6000.0
2013-06-28,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-29,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-06-30,Fruit,Mango-Langra,Kilogram,65.0,73.0,69.0,Quintal,4900.0,4900.0,4900.0
2013-07-01,Fruit,Mango-Langra,Kilogram,65.0,73.0,69.0,Quintal,4900.0,4900.0,4900.0
2013-07-02,Fruit,Mango-Langra,Kilogram,60.0,68.0,64.0,Quintal,4900.0,4900.0,4900.0
2013-07-03,Fruit,Mango-Langra,Kilogram,59.0,66.0,62.5,Quintal,5575.0,5575.0,5575.0
2013-07-04,Fruit,Mango-Langra,Kilogram,60.0,68.0,64.0,Quintal,4750.0,4750.0,4750.0
2013-07-05,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-07-06,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-07-07,Fruit,Mango-Langra,Kilogram,59.0,65.0,62.0,Quintal,5200.0,5200.0,5200.0
2013-07-08,Fruit,Mango-Langra,Kilogram,69.0,75.0,72.0,Quintal,6050.0,6050.0,6050.0
2013-07-09,Fruit,Mango-Langra,Kilogram,69.0,75.0,72.0,Quintal,5425.0,5425.0,5425.0
2013-07-10,Fruit,Mango-Langra,Kilogram,70.0,77.0,73.5,Quintal,6050.0,6050.0,6050.0
2013-07-11,Fruit,Mango-Langra,Kilogram,79.0,85.0,82.0,Quintal,5600.0,5600.0,5600.0
2013-07-12,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-07-13,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-07-14,Fruit,Mango-Langra,Kilogram,90.0,95.0,92.5,Quintal,7000.0,7000.0,7000.0
2013-07-15,Fruit,Mango-Langra,Kilogram,100.0,105.0,102.5,Quintal,7000.0,7000.0,7000.0
2013-07-16,Fruit,Mango-Langra,Kilogram,100.0,105.0,102.5,Quintal,7000.0,7000.0,7000.0
2013-07-17,Fruit,Mango-Langra,Kilogram,90.0,103.0,96.5,Quintal,9625.0,9625.0,9625.0
2013-07-18,Fruit,Mango-Langra,Kilogram,100.0,113.0,106.5,Quintal,10250.0,10250.0,10250.0
2013-07-19,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-07-20,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-07-21,Fruit,Mango-Langra,Kilogram,80.0,85.0,82.5,Quintal,10250.0,10250.0,10250.0
2013-07-22,Fruit,Mango-Langra,Kilogram,50.0,55.0,52.5,Quintal,6450.0,6450.0,6450.0
2013-07-23,Fruit,Mango-Langra,Kilogram,50.0,55.0,52.5,Quintal,6450.0,6450.0,6450.0
2013-07-24,Fruit,Mango-Langra,Kilogram,70.0,80.0,75.0,Quintal,7167.0,7167.0,7167.0
2013-07-25,Fruit,Mango-Langra,Kilogram,,,,Quintal,8500.0,8500.0,8500.0
2013-07-26,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-07-27,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-07-28,Fruit,Mango-Langra,Kilogram,,,,Quintal,8750.0,8750.0,8750.0
2013-07-29,Fruit,Mango-Langra,Kilogram,,,,Quintal,8500.0,8500.0,8500.0
2013-07-30,Fruit,Mango-Langra,Kilogram,,,,Quintal,8750.0,8750.0,8750.0
2013-07-31,Fruit,Mango-Langra,Kilogram,,,,Quintal,7500.0,7500.0,7500.0
2013-08-01,Fruit,Mango-Langra,Kilogram,,,,Quintal,9000.0,9000.0,9000.0
2013-08-02,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-08-03,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-08-04,Fruit,Mango-Langra,Kilogram,,,,Quintal,9000.0,9000.0,9000.0
2013-08-05,Fruit,Mango-Langra,Kilogram,,,,Quintal,9000.0,9000.0,9000.0
2013-08-06,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-08-07,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-08-08,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-08-09,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
2013-08-10,Fruit,Mango-Langra,Kilogram,,,,Quintal,,,
