,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Fruit,Orange,4 Pieces,50.0,70.0,60.0,100 pieces,1330.0,1330.0,1330.0
2013-01-02,Fruit,Orange,4 Pieces,45.0,68.0,56.5,100 pieces,1180.0,1180.0,1180.0
2013-01-03,Fruit,Orange,4 Pieces,50.0,70.0,60.0,100 pieces,1330.0,1330.0,1330.0
2013-01-04,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-01-05,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-01-06,Fruit,Orange,4 Pieces,50.0,70.0,60.0,100 pieces,1330.0,1330.0,1330.0
2013-01-07,Fruit,Orange,4 Pieces,50.0,70.0,60.0,100 pieces,1330.0,1330.0,1330.0
2013-01-08,Fruit,Orange,4 Pieces,50.0,70.0,60.0,100 pieces,1330.0,1330.0,1330.0
2013-01-09,Fruit,Orange,4 Pieces,44.0,68.0,56.0,100 pieces,2650.0,2650.0,2650.0
2013-01-10,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1300.0,1300.0,1300.0
2013-01-11,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-01-12,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-01-13,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1300.0,1300.0,1300.0
2013-01-14,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1270.0,1270.0,1270.0
2013-01-15,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1270.0,1270.0,1270.0
2013-01-16,Fruit,Orange,4 Pieces,46.0,71.0,58.5,100 pieces,1417.0,1417.0,1417.0
2013-01-17,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1270.0,1270.0,1270.0
2013-01-18,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-01-19,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-01-20,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1270.0,1270.0,1270.0
2013-01-21,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1330.0,1330.0,1330.0
2013-01-22,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1330.0,1330.0,1330.0
2013-01-23,Fruit,Orange,4 Pieces,44.0,66.0,55.0,100 pieces,1283.0,1283.0,1283.0
2013-01-24,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1400.0,1400.0,1400.0
2013-01-25,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-01-26,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-01-27,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1200.0,1200.0,1200.0
2013-01-28,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1270.0,1270.0,1270.0
2013-01-29,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1270.0,1270.0,1270.0
2013-01-30,Fruit,Orange,4 Pieces,42.0,61.0,51.5,100 pieces,1307.0,1307.0,1307.0
2013-01-31,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1250.0,1250.0,1250.0
2013-02-01,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-02-02,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-02-03,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-02-04,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1250.0,1250.0,1250.0
2013-02-05,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1250.0,1250.0,1250.0
2013-02-06,Fruit,Orange,4 Pieces,43.0,66.0,54.5,100 pieces,1307.0,1307.0,1307.0
2013-02-07,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1250.0,1250.0,1250.0
2013-02-08,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-02-09,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-02-10,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1500.0,1500.0,1500.0
2013-02-11,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1500.0,1500.0,1500.0
2013-02-12,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-02-13,Fruit,Orange,4 Pieces,46.0,66.0,56.0,100 pieces,1367.0,1367.0,1367.0
2013-02-14,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1350.0,1350.0,1350.0
2013-02-15,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-02-16,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-02-17,Fruit,Orange,4 Pieces,,,,100 pieces,,,
2013-02-18,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1600.0,1600.0,1600.0
2013-02-19,Fruit,Orange,4 Pieces,40.0,70.0,55.0,100 pieces,1600.0,1600.0,1600.0
