,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Fruit,Ripe Papaya (small),Kilogram,27.0,34.0,30.5,1 Bag (50kg),2100.0,2100.0,2100.0
2013-01-03,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-04,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-05,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-06,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-07,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-08,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-09,Fruit,Ripe Papaya (small),Kilogram,29.0,37.0,33.0,1 Bag (50kg),3000.0,3000.0,3000.0
2013-01-10,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-11,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-12,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-13,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-14,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-15,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-16,Fruit,Ripe Papaya (small),Kilogram,31.0,39.0,35.0,1 Bag (50kg),3500.0,3500.0,3500.0
2013-01-17,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-18,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-19,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-20,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-21,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-22,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-23,Fruit,Ripe Papaya (small),Kilogram,28.0,35.0,31.5,1 Bag (50kg),3500.0,3500.0,3500.0
2013-01-24,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
2013-01-25,Fruit,Ripe Papaya (small),Kilogram,,,,1 Bag (50kg),,,
