,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-03-06,Fruit,Watermelon,1 piece,100.0,120.0,110.0,100 pieces,9000.0,9000.0,9000.0
2013-03-07,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-08,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-09,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-10,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-11,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-12,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-13,Fruit,Watermelon,1 piece,100.0,120.0,110.0,100 pieces,9000.0,9000.0,9000.0
2013-03-14,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-15,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-16,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-17,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-18,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-19,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-20,Fruit,Watermelon,1 piece,115.0,150.0,132.5,100 pieces,13000.0,13000.0,13000.0
2013-03-21,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-22,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-23,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-24,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-25,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-26,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-27,Fruit,Watermelon,1 piece,90.0,167.0,128.5,100 pieces,14000.0,14000.0,14000.0
2013-03-28,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-29,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-30,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-03-31,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-01,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-02,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-03,Fruit,Watermelon,1 piece,97.0,183.0,140.0,100 pieces,12667.0,12667.0,12667.0
2013-04-04,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-05,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-06,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-07,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-08,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-09,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-10,Fruit,Watermelon,1 piece,88.0,174.0,131.0,100 pieces,24333.0,24333.0,24333.0
2013-04-11,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-12,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-13,Fruit,Watermelon,1 piece,,,,100 pieces,,,
2013-04-14,Fruit,Watermelon,1 piece,,,,100 pieces,,,
