,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-07-17,Leather,Buffalo Calf Leather,1 piece,800.0,900.0,850.0,100 pieces,,,
2013-07-18,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-19,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-20,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-21,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-22,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-23,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-24,Leather,Buffalo Calf Leather,1 piece,800.0,900.0,850.0,100 pieces,,,
2013-07-25,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-26,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-27,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-28,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-29,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-30,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-07-31,Leather,Buffalo Calf Leather,1 piece,695.0,750.0,722.5,100 pieces,64000.0,64000.0,64000.0
2013-08-01,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-02,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-03,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-04,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-05,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-06,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-07,Leather,Buffalo Calf Leather,1 piece,800.0,900.0,850.0,100 pieces,,,
2013-08-08,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-09,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-10,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-11,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-12,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-13,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-14,Leather,Buffalo Calf Leather,1 piece,800.0,900.0,850.0,100 pieces,,,
2013-08-15,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-16,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-17,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-18,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-19,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-20,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-21,Leather,Buffalo Calf Leather,1 piece,800.0,900.0,850.0,100 pieces,,,
2013-08-22,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-23,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-24,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-25,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-26,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-27,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-28,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-29,Leather,Buffalo Calf Leather,1 piece,800.0,900.0,850.0,100 pieces,,,
2013-08-30,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-08-31,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-09-01,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-09-02,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-09-03,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-09-04,Leather,Buffalo Calf Leather,1 piece,800.0,900.0,850.0,100 pieces,,,
2013-09-05,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-09-06,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-09-07,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-09-08,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
2013-09-09,Leather,Buffalo Calf Leather,1 piece,,,,100 pieces,,,
