,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Leather,Calf Leather - Salt Mixed,1 piece,530.0,660.0,595.0,100 pieces,57800.0,57800.0,57800.0
2013-01-03,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-04,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-05,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-06,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-07,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-08,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-09,Leather,Calf Leather - Salt Mixed,1 piece,530.0,660.0,595.0,100 pieces,57800.0,57800.0,57800.0
2013-01-10,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-11,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-12,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-13,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-14,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-15,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-16,Leather,Calf Leather - Salt Mixed,1 piece,530.0,660.0,595.0,100 pieces,50833.0,50833.0,50833.0
2013-01-17,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-18,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-19,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-20,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-21,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-22,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-23,Leather,Calf Leather - Salt Mixed,1 piece,530.0,660.0,595.0,100 pieces,49000.0,49000.0,49000.0
2013-01-24,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-25,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-26,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-27,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-28,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-29,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-30,Leather,Calf Leather - Salt Mixed,1 piece,533.0,658.0,595.5,100 pieces,50833.0,50833.0,50833.0
2013-01-31,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-01,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-02,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-03,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-04,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-05,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-06,Leather,Calf Leather - Salt Mixed,1 piece,567.0,692.0,629.5,100 pieces,55000.0,55000.0,55000.0
2013-02-07,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-08,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-09,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-10,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-11,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-12,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-13,Leather,Calf Leather - Salt Mixed,1 piece,570.0,700.0,635.0,100 pieces,55800.0,55800.0,55800.0
2013-02-14,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-15,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-16,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-17,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-18,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-19,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-20,Leather,Calf Leather - Salt Mixed,1 piece,567.0,692.0,629.5,100 pieces,57250.0,57250.0,57250.0
2013-02-21,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-22,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-23,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-24,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-25,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-26,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-27,Leather,Calf Leather - Salt Mixed,1 piece,586.0,700.0,643.0,100 pieces,55000.0,55000.0,55000.0
2013-02-28,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-03-01,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
2013-03-02,Leather,Calf Leather - Salt Mixed,1 piece,,,,100 pieces,,,
