,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Leather,Cow Leather (Light) - Salt Mixed,1 piece,650.0,792.0,721.0,100 pieces,96250.0,96250.0,96250.0
2013-01-03,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-04,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-05,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-06,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-07,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-08,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-09,Leather,Cow Leather (Light) - Salt Mixed,1 piece,650.0,792.0,721.0,100 pieces,96250.0,96250.0,96250.0
2013-01-10,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-11,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-12,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-13,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-14,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-15,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-16,Leather,Cow Leather (Light) - Salt Mixed,1 piece,600.0,736.0,668.0,100 pieces,89000.0,89000.0,89000.0
2013-01-17,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-18,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-19,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-20,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-21,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-22,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-23,Leather,Cow Leather (Light) - Salt Mixed,1 piece,567.0,742.0,654.5,100 pieces,76250.0,76250.0,76250.0
2013-01-24,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-25,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-26,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-27,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-28,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-29,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-01-30,Leather,Cow Leather (Light) - Salt Mixed,1 piece,593.0,771.0,682.0,100 pieces,76250.0,76250.0,76250.0
2013-01-31,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-01,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-02,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-03,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-04,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-05,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-06,Leather,Cow Leather (Light) - Salt Mixed,1 piece,650.0,829.0,739.5,100 pieces,81667.0,81667.0,81667.0
2013-02-07,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-08,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-09,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-10,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-11,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
2013-02-12,Leather,Cow Leather (Light) - Salt Mixed,1 piece,,,,100 pieces,,,
