,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-02,Meat,Beef,Kilogram,259.0,270.0,264.5,Quintal,20552.0,20552.0,20552.0
2013-01-03,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-04,Meat,Beef,Kilogram,,,,Quintal,,,
2013-01-05,Meat,Beef,Kilogram,,,,Quintal,,,
2013-01-06,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-07,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-08,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-09,Meat,Beef,Kilogram,258.0,269.0,263.5,Quintal,20552.0,20552.0,20552.0
2013-01-10,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-11,Meat,Beef,Kilogram,,,,Quintal,,,
2013-01-12,Meat,Beef,Kilogram,,,,Quintal,,,
2013-01-13,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-14,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-15,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-16,Meat,Beef,Kilogram,256.0,268.0,262.0,Quintal,20552.0,20552.0,20552.0
2013-01-17,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-18,Meat,Beef,Kilogram,,,,Quintal,,,
2013-01-19,Meat,Beef,Kilogram,,,,Quintal,,,
2013-01-20,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-21,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-22,Meat,Beef,Kilogram,275.0,285.0,280.0,Quintal,,,
2013-01-23,Meat,Beef,Kilogram,254.0,267.0,260.5,Quintal,24833.0,24833.0,24833.0
2013-01-24,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-01-25,Meat,Beef,Kilogram,,,,Quintal,,,
2013-01-26,Meat,Beef,Kilogram,,,,Quintal,,,
2013-01-27,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-01-28,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-01-29,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-01-30,Meat,Beef,Kilogram,256.0,267.0,261.5,Quintal,25625.0,25625.0,25625.0
2013-01-31,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-02-01,Meat,Beef,Kilogram,,,,Quintal,,,
2013-02-02,Meat,Beef,Kilogram,,,,Quintal,,,
2013-02-03,Meat,Beef,Kilogram,,,,Quintal,,,
2013-02-04,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-02-05,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-02-06,Meat,Beef,Kilogram,257.0,268.0,262.5,Quintal,25625.0,25625.0,25625.0
2013-02-07,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-02-08,Meat,Beef,Kilogram,,,,Quintal,,,
2013-02-09,Meat,Beef,Kilogram,,,,Quintal,,,
2013-02-10,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-02-11,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-02-12,Meat,Beef,Kilogram,,,,Quintal,,,
2013-02-13,Meat,Beef,Kilogram,256.0,267.0,261.5,Quintal,25625.0,25625.0,25625.0
2013-02-14,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-02-15,Meat,Beef,Kilogram,,,,Quintal,,,
2013-02-16,Meat,Beef,Kilogram,,,,Quintal,,,
2013-02-17,Meat,Beef,Kilogram,,,,Quintal,,,
2013-02-18,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
2013-02-19,Meat,Beef,Kilogram,270.0,280.0,275.0,Quintal,,,
