,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2016-04-20,Meat,Broiler Farm,Kilogram,150.0,160.0,155.0,Quintal,14000.0,14000.0,14000.0
2016-04-21,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-04-22,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-04-23,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-04-24,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-04-25,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-04-26,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-04-27,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-04-28,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-04-29,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-04-30,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-01,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-02,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-03,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-04,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-05,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-06,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-07,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-08,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-09,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-10,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-11,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-12,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-13,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-14,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-15,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-16,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-17,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-18,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-19,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
2016-05-20,Meat,Broiler Farm,Kilogram,,,,Quintal,,,
