,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2017-05-10,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-05-11,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-05-12,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-13,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-14,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-15,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-16,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-17,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-18,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-19,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-20,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-21,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-22,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-23,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-24,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-25,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-26,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-27,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-28,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-29,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-30,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-05-31,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-01,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-02,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-03,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-04,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-05,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-06,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-07,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-08,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-09,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-10,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-11,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-12,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-13,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-14,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-15,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-16,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-17,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-18,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-19,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-20,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-21,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-22,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-23,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-24,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-25,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-26,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-27,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-06-28,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-29,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-06-30,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-07-01,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-07-02,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-07-03,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-07-04,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-07-05,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-07-06,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-07-07,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-07-08,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-07-09,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-07-10,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-07-11,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-07-12,Meat,Duck meat,Kilogram,330.0,340.0,335.0,Quintal,31000.0,31000.0,31000.0
2017-07-13,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-07-14,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-07-15,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-07-16,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-07-17,Meat,Duck meat,Kilogram,440.0,450.0,445.0,Quintal,31000.0,31000.0,31000.0
2017-07-18,Meat,Duck meat,Kilogram,440.0,450.0,445.0,Quintal,31000.0,31000.0,31000.0
2017-07-19,Meat,Duck meat,Kilogram,440.0,450.0,445.0,Quintal,31000.0,31000.0,31000.0
2017-07-20,Meat,Duck meat,Kilogram,440.0,450.0,445.0,Quintal,31000.0,31000.0,31000.0
2017-07-21,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-07-22,Meat,Duck meat,Kilogram,,,,Quintal,,,
2017-07-23,Meat,Duck meat,Kilogram,440.0,450.0,445.0,Quintal,31000.0,31000.0,31000.0
2017-07-24,Meat,Duck meat,Kilogram,440.0,450.0,445.0,Quintal,31000.0,31000.0,31000.0
2017-07-25,Meat,Duck meat,Kilogram,440.0,450.0,445.0,Quintal,31000.0,31000.0,31000.0
2017-07-26,Meat,Duck meat,Kilogram,440.0,450.0,445.0,Quintal,31000.0,31000.0,31000.0
