,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2016-04-20,Meat,Local,Kilogram,28.0,32.0,30.0,Quintal,4950.0,4950.0,4950.0
2016-04-21,Meat,Local,Kilogram,,,,Quintal,,,
2016-04-22,Meat,Local,Kilogram,,,,Quintal,,,
2016-04-23,Meat,Local,Kilogram,,,,Quintal,,,
2016-04-24,Meat,Local,Kilogram,,,,Quintal,,,
2016-04-25,Meat,Local,Kilogram,,,,Quintal,,,
2016-04-26,Meat,Local,Kilogram,,,,Quintal,,,
2016-04-27,Meat,Local,Kilogram,,,,Quintal,,,
2016-04-28,Meat,Local,Kilogram,,,,Quintal,,,
2016-04-29,Meat,Local,Kilogram,,,,Quintal,,,
2016-04-30,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-01,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-02,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-03,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-04,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-05,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-06,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-07,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-08,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-09,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-10,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-11,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-12,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-13,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-14,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-15,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-16,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-17,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-18,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-19,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-20,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-21,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-22,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-23,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-24,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-25,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-26,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-27,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-28,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-29,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-30,Meat,Local,Kilogram,,,,Quintal,,,
2016-05-31,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-01,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-02,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-03,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-04,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-05,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-06,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-07,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-08,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-09,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-10,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-11,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-12,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-13,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-14,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-15,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-16,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-17,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-18,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-19,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-20,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-21,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-22,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-23,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-24,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-25,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-26,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-27,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-28,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-29,Meat,Local,Kilogram,,,,Quintal,,,
2016-06-30,Meat,Local,Kilogram,,,,Quintal,,,
2016-07-01,Meat,Local,Kilogram,,,,Quintal,,,
2016-07-02,Meat,Local,Kilogram,,,,Quintal,,,
