,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Meat,Mutton (female),Kilogram,338.0,359.0,348.5,Quintal,19133.0,19133.0,19133.0
2013-01-03,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-04,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-05,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-06,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-07,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-08,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-09,Meat,Mutton (female),Kilogram,338.0,359.0,348.5,Quintal,19133.0,19133.0,19133.0
2013-01-10,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-11,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-12,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-13,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-14,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-15,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-16,Meat,Mutton (female),Kilogram,340.0,362.0,351.0,Quintal,19133.0,19133.0,19133.0
2013-01-17,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-18,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-19,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-20,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-21,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-22,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-23,Meat,Mutton (female),Kilogram,345.0,366.0,355.5,Quintal,28500.0,28500.0,28500.0
2013-01-24,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-25,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-26,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-27,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-28,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-29,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-01-30,Meat,Mutton (female),Kilogram,345.0,368.0,356.5,Quintal,28500.0,28500.0,28500.0
2013-01-31,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-01,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-02,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-03,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-04,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-05,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-06,Meat,Mutton (female),Kilogram,337.0,358.0,347.5,Quintal,34333.0,34333.0,34333.0
2013-02-07,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-08,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-09,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-10,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-11,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-12,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-13,Meat,Mutton (female),Kilogram,340.0,362.0,351.0,Quintal,34333.0,34333.0,34333.0
2013-02-14,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-15,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-16,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-17,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-18,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-19,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-20,Meat,Mutton (female),Kilogram,337.0,358.0,347.5,Quintal,19113.0,19113.0,19113.0
2013-02-21,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-22,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-23,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-24,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-25,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-26,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-02-27,Meat,Mutton (female),Kilogram,337.0,359.0,348.0,Quintal,19113.0,19113.0,19113.0
2013-02-28,Meat,Mutton (female),Kilogram,320.0,350.0,335.0,Quintal,,,
2013-03-01,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-02,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-03,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-04,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-05,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-06,Meat,Mutton (female),Kilogram,342.0,363.0,352.5,Quintal,22447.0,22447.0,22447.0
2013-03-07,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-08,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-09,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-10,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-11,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-12,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-13,Meat,Mutton (female),Kilogram,340.0,363.0,351.5,Quintal,23710.0,23710.0,23710.0
2013-03-14,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-15,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-16,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-17,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-18,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-19,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-20,Meat,Mutton (female),Kilogram,336.0,358.0,347.0,Quintal,23710.0,23710.0,23710.0
2013-03-21,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-22,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-23,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-24,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-25,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-26,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-27,Meat,Mutton (female),Kilogram,340.0,360.0,350.0,Quintal,22447.0,22447.0,22447.0
2013-03-28,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-29,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-30,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-03-31,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-01,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-02,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-03,Meat,Mutton (female),Kilogram,338.0,357.0,347.5,Quintal,23710.0,23710.0,23710.0
2013-04-04,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-05,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-06,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-07,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-08,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-09,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-10,Meat,Mutton (female),Kilogram,340.0,359.0,349.5,Quintal,23710.0,23710.0,23710.0
2013-04-11,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-12,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-13,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-14,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-15,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-16,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-17,Meat,Mutton (female),Kilogram,342.0,361.0,351.5,Quintal,23710.0,23710.0,23710.0
2013-04-18,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-19,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-20,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-21,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-22,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-23,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-24,Meat,Mutton (female),Kilogram,338.0,359.0,348.5,Quintal,23710.0,23710.0,23710.0
2013-04-25,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-26,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-27,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-28,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-29,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-04-30,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-01,Meat,Mutton (female),Kilogram,338.0,355.0,346.5,Quintal,,,
2013-05-02,Meat,Mutton (female),Kilogram,344.0,358.0,351.0,Quintal,22447.0,22447.0,22447.0
2013-05-03,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-04,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-05,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-06,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-07,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-08,Meat,Mutton (female),Kilogram,341.0,362.0,351.5,Quintal,31500.0,31500.0,31500.0
2013-05-09,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-10,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-11,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-12,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-13,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-14,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-15,Meat,Mutton (female),Kilogram,347.0,365.0,356.0,Quintal,23460.0,23460.0,23460.0
2013-05-16,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-17,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-18,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-19,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-20,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-21,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-22,Meat,Mutton (female),Kilogram,348.0,368.0,358.0,Quintal,31500.0,31500.0,31500.0
2013-05-23,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-24,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-25,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-26,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-27,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-28,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-29,Meat,Mutton (female),Kilogram,342.0,361.0,351.5,Quintal,31500.0,31500.0,31500.0
2013-05-30,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-05-31,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-01,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-02,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-03,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-04,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-05,Meat,Mutton (female),Kilogram,343.0,363.0,353.0,Quintal,23710.0,23710.0,23710.0
2013-06-06,Meat,Mutton (female),Kilogram,380.0,400.0,390.0,Quintal,370.0,370.0,370.0
2013-06-07,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-08,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-09,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-06-10,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-06-11,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-06-12,Meat,Mutton (female),Kilogram,340.0,361.0,350.5,Quintal,15920.0,15920.0,15920.0
2013-06-13,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-06-14,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-15,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-16,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-06-17,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-06-18,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-06-19,Meat,Mutton (female),Kilogram,359.0,379.0,369.0,Quintal,13770.0,13770.0,13770.0
2013-06-20,Meat,Mutton (female),Kilogram,380.0,400.0,390.0,Quintal,,,
2013-06-21,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-22,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-23,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-06-24,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-06-25,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-26,Meat,Mutton (female),Kilogram,357.0,377.0,367.0,Quintal,16012.0,16012.0,16012.0
2013-06-27,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-06-28,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-29,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-06-30,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-07-01,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-07-02,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-07-03,Meat,Mutton (female),Kilogram,372.0,393.0,382.5,Quintal,22146.0,22146.0,22146.0
2013-07-04,Meat,Mutton (female),Kilogram,370.0,390.0,380.0,Quintal,,,
2013-07-05,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-07-06,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-07-07,Meat,Mutton (female),Kilogram,363.0,387.0,375.0,Quintal,,,
2013-07-08,Meat,Mutton (female),Kilogram,363.0,387.0,375.0,Quintal,,,
2013-07-09,Meat,Mutton (female),Kilogram,363.0,387.0,375.0,Quintal,,,
2013-07-10,Meat,Mutton (female),Kilogram,369.0,390.0,379.5,Quintal,22453.0,22453.0,22453.0
2013-07-11,Meat,Mutton (female),Kilogram,363.0,387.0,375.0,Quintal,370.0,370.0,370.0
2013-07-12,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-07-13,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-07-14,Meat,Mutton (female),Kilogram,363.0,387.0,375.0,Quintal,,,
2013-07-15,Meat,Mutton (female),Kilogram,363.0,387.0,375.0,Quintal,,,
2013-07-16,Meat,Mutton (female),Kilogram,363.0,387.0,375.0,Quintal,,,
2013-07-17,Meat,Mutton (female),Kilogram,370.0,391.0,380.5,Quintal,16943.0,16943.0,16943.0
2013-07-18,Meat,Mutton (female),Kilogram,360.0,380.0,370.0,Quintal,,,
2013-07-19,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-07-20,Meat,Mutton (female),Kilogram,,,,Quintal,,,
2013-07-21,Meat,Mutton (female),Kilogram,360.0,380.0,370.0,Quintal,,,
2013-07-22,Meat,Mutton (female),Kilogram,368.0,388.0,378.0,Quintal,420.0,420.0,420.0
2013-07-23,Meat,Mutton (female),Kilogram,360.0,380.0,370.0,Quintal,,,
