,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Meat,Mutton (male),Kilogram,420.0,460.0,440.0,Quintal,,,
2013-01-02,Meat,Mutton (male),Kilogram,395.0,423.0,409.0,Quintal,26453.0,26453.0,26453.0
2013-01-03,Meat,Mutton (male),Kilogram,420.0,460.0,440.0,Quintal,,,
2013-01-04,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-01-05,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-01-06,Meat,Mutton (male),Kilogram,420.0,460.0,440.0,Quintal,,,
2013-01-07,Meat,Mutton (male),Kilogram,420.0,460.0,440.0,Quintal,,,
2013-01-08,Meat,Mutton (male),Kilogram,420.0,460.0,440.0,Quintal,,,
2013-01-09,Meat,Mutton (male),Kilogram,396.0,423.0,409.5,Quintal,26453.0,26453.0,26453.0
2013-01-10,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-11,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-01-12,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-01-13,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-14,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-15,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-16,Meat,Mutton (male),Kilogram,390.0,419.0,404.5,Quintal,26453.0,26453.0,26453.0
2013-01-17,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-18,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-01-19,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-01-20,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-21,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-22,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-23,Meat,Mutton (male),Kilogram,380.0,405.0,392.5,Quintal,39500.0,39500.0,39500.0
2013-01-24,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-25,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-01-26,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-01-27,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-28,Meat,Mutton (male),Kilogram,440.0,460.0,450.0,Quintal,,,
2013-01-29,Meat,Mutton (male),Kilogram,450.0,460.0,455.0,Quintal,,,
2013-01-30,Meat,Mutton (male),Kilogram,386.0,412.0,399.0,Quintal,39500.0,39500.0,39500.0
2013-01-31,Meat,Mutton (male),Kilogram,450.0,460.0,455.0,Quintal,,,
2013-02-01,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-02-02,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-02-03,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-02-04,Meat,Mutton (male),Kilogram,450.0,470.0,460.0,Quintal,,,
2013-02-05,Meat,Mutton (male),Kilogram,450.0,470.0,460.0,Quintal,,,
2013-02-06,Meat,Mutton (male),Kilogram,394.0,416.0,405.0,Quintal,38667.0,38667.0,38667.0
2013-02-07,Meat,Mutton (male),Kilogram,450.0,470.0,460.0,Quintal,,,
2013-02-08,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-02-09,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-02-10,Meat,Mutton (male),Kilogram,450.0,470.0,460.0,Quintal,,,
2013-02-11,Meat,Mutton (male),Kilogram,440.0,470.0,455.0,Quintal,,,
2013-02-12,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-02-13,Meat,Mutton (male),Kilogram,389.0,415.0,402.0,Quintal,38667.0,38667.0,38667.0
2013-02-14,Meat,Mutton (male),Kilogram,450.0,470.0,460.0,Quintal,,,
2013-02-15,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-02-16,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-02-17,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-02-18,Meat,Mutton (male),Kilogram,450.0,480.0,465.0,Quintal,,,
2013-02-19,Meat,Mutton (male),Kilogram,450.0,480.0,465.0,Quintal,,,
2013-02-20,Meat,Mutton (male),Kilogram,391.0,415.0,403.0,Quintal,26467.0,26467.0,26467.0
2013-02-21,Meat,Mutton (male),Kilogram,,,,Quintal,,,
2013-02-22,Meat,Mutton (male),Kilogram,,,,Quintal,,,
