,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-02,Milk,Cow Milk (liquid),Liter,49.0,54.0,51.5,100 Liters,4833.0,4833.0,4833.0
2013-01-03,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-04,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-01-05,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-01-06,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-07,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-08,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-09,Milk,Cow Milk (liquid),Liter,49.0,54.0,51.5,100 Liters,4833.0,4833.0,4833.0
2013-01-10,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-11,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-01-12,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-01-13,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-14,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-15,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-16,Milk,Cow Milk (liquid),Liter,49.0,54.0,51.5,100 Liters,4500.0,4500.0,4500.0
2013-01-17,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-18,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-01-19,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-01-20,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-21,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-22,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-23,Milk,Cow Milk (liquid),Liter,48.0,53.0,50.5,100 Liters,4000.0,4000.0,4000.0
2013-01-24,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-25,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-01-26,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-01-27,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-28,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-29,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-01-30,Milk,Cow Milk (liquid),Liter,48.0,53.0,50.5,100 Liters,4400.0,4400.0,4400.0
2013-01-31,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-01,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-02,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-03,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-04,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-05,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-06,Milk,Cow Milk (liquid),Liter,48.0,53.0,50.5,100 Liters,4400.0,4400.0,4400.0
2013-02-07,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-08,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-09,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-10,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-11,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-12,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-13,Milk,Cow Milk (liquid),Liter,49.0,54.0,51.5,100 Liters,4500.0,4500.0,4500.0
2013-02-14,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-15,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-16,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-17,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-18,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-19,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-20,Milk,Cow Milk (liquid),Liter,50.0,55.0,52.5,100 Liters,4250.0,4250.0,4250.0
2013-02-21,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-22,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-23,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-24,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-25,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-02-26,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-02-27,Milk,Cow Milk (liquid),Liter,48.0,53.0,50.5,100 Liters,4000.0,4000.0,4000.0
2013-02-28,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-03-01,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-03-02,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-03-03,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-03-04,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-03-05,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-03-06,Milk,Cow Milk (liquid),Liter,51.0,57.0,54.0,100 Liters,4833.0,4833.0,4833.0
2013-03-07,Milk,Cow Milk (liquid),Liter,58.0,64.0,61.0,100 Liters,,,
2013-03-08,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-03-09,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
2013-03-10,Milk,Cow Milk (liquid),Liter,,,,100 Liters,,,
