,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Milk,Dano - Powdered Milk,2 Kg,1150.0,1170.0,1160.0,12 Kg,6840.0,6840.0,6840.0
2013-01-02,Milk,Dano - Powdered Milk,2 Kg,1170.0,1183.0,1176.5,12 Kg,8618.0,8618.0,8618.0
2013-01-03,Milk,Dano - Powdered Milk,2 Kg,1150.0,1170.0,1160.0,12 Kg,6840.0,6840.0,6840.0
2013-01-04,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-01-05,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-01-06,Milk,Dano - Powdered Milk,2 Kg,1150.0,1170.0,1160.0,12 Kg,6840.0,6840.0,6840.0
2013-01-07,Milk,Dano - Powdered Milk,2 Kg,1150.0,1170.0,1160.0,12 Kg,6840.0,6840.0,6840.0
2013-01-08,Milk,Dano - Powdered Milk,2 Kg,1150.0,1170.0,1160.0,12 Kg,6840.0,6840.0,6840.0
2013-01-09,Milk,Dano - Powdered Milk,2 Kg,1173.0,1186.0,1179.5,12 Kg,9231.0,9231.0,9231.0
2013-01-10,Milk,Dano - Powdered Milk,2 Kg,1150.0,1170.0,1160.0,12 Kg,6840.0,6840.0,6840.0
2013-01-11,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-01-12,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-01-13,Milk,Dano - Powdered Milk,2 Kg,1150.0,1170.0,1160.0,12 Kg,6840.0,6840.0,6840.0
2013-01-14,Milk,Dano - Powdered Milk,2 Kg,1150.0,1170.0,1160.0,12 Kg,6840.0,6840.0,6840.0
2013-01-15,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6840.0,6840.0,6840.0
2013-01-16,Milk,Dano - Powdered Milk,2 Kg,1175.0,1186.0,1180.5,12 Kg,6852.0,6852.0,6852.0
2013-01-17,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6840.0,6840.0,6840.0
2013-01-18,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-01-19,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-01-20,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6840.0,6840.0,6840.0
2013-01-21,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6840.0,6840.0,6840.0
2013-01-22,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6840.0,6840.0,6840.0
2013-01-23,Milk,Dano - Powdered Milk,2 Kg,1155.0,1163.0,1159.0,12 Kg,6846.0,6846.0,6846.0
2013-01-24,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6900.0,6900.0,6900.0
2013-01-25,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-01-26,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-01-27,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6900.0,6900.0,6900.0
2013-01-28,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6900.0,6900.0,6900.0
2013-01-29,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6900.0,6900.0,6900.0
2013-01-30,Milk,Dano - Powdered Milk,2 Kg,1167.0,1175.0,1171.0,12 Kg,6876.0,6876.0,6876.0
2013-01-31,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6900.0,6900.0,6900.0
2013-02-01,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-02-02,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-02-03,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-02-04,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6900.0,6900.0,6900.0
2013-02-05,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6900.0,6900.0,6900.0
2013-02-06,Milk,Dano - Powdered Milk,2 Kg,1167.0,1175.0,1171.0,12 Kg,6876.0,6876.0,6876.0
2013-02-07,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6900.0,6900.0,6900.0
2013-02-08,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-02-09,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
2013-02-10,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6900.0,6900.0,6900.0
2013-02-11,Milk,Dano - Powdered Milk,2 Kg,1160.0,1170.0,1165.0,12 Kg,6900.0,6900.0,6900.0
2013-02-12,Milk,Dano - Powdered Milk,2 Kg,,,,12 Kg,,,
