,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2023-08-16,Oil Seed,Rapeseeds,Kilogram,220.0,230.0,225.0,Quintal,22000.0,22000.0,22000.0
2023-08-17,Oil Seed,Rapeseeds,Kilogram,220.0,230.0,225.0,Quintal,22000.0,22000.0,22000.0
2023-08-18,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-19,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-20,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-21,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-22,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-23,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-24,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-25,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-26,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-27,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-28,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-29,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-30,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-08-31,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-01,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-02,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-03,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-04,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-05,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-06,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-07,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-08,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-09,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-10,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-11,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-12,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-13,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-14,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-15,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-16,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-17,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-18,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-19,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-20,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-21,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-22,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-23,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-24,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-25,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-26,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-27,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-09-28,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-29,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-09-30,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-10-01,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-02,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-03,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-04,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-05,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-06,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-10-07,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-10-08,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-09,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-10,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-11,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-12,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-13,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-10-14,Oil Seed,Rapeseeds,Kilogram,,,,Quintal,,,
2023-10-15,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
2023-10-16,Oil Seed,Rapeseeds,Kilogram,75.0,80.0,77.5,Quintal,7000.0,7000.0,7000.0
