,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Oil,Coconut Oil (local),Liter,196.0,225.0,210.5,100 Liters,18706.0,18706.0,18706.0
2013-01-03,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-04,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-05,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-06,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-07,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-08,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-09,Oil,Coconut Oil (local),Liter,196.0,225.0,210.5,100 Liters,18706.0,18706.0,18706.0
2013-01-10,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-11,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-12,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-13,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-14,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-15,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-16,Oil,Coconut Oil (local),Liter,201.0,227.0,214.0,100 Liters,19445.0,19445.0,19445.0
2013-01-17,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-18,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-19,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-20,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-21,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-22,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-23,Oil,Coconut Oil (local),Liter,198.0,225.0,211.5,100 Liters,19740.0,19740.0,19740.0
2013-01-24,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-25,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-26,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-27,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-28,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-29,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-01-30,Oil,Coconut Oil (local),Liter,193.0,219.0,206.0,100 Liters,20000.0,20000.0,20000.0
2013-01-31,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-01,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-02,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-03,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-04,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-05,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-06,Oil,Coconut Oil (local),Liter,204.0,228.0,216.0,100 Liters,19933.0,19933.0,19933.0
2013-02-07,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-08,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-09,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-10,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-11,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-12,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-13,Oil,Coconut Oil (local),Liter,198.0,225.0,211.5,100 Liters,19488.0,19488.0,19488.0
2013-02-14,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-15,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-16,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-17,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-18,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-19,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-20,Oil,Coconut Oil (local),Liter,199.0,226.0,212.5,100 Liters,19581.0,19581.0,19581.0
2013-02-21,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-22,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-23,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-24,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-25,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-26,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-02-27,Oil,Coconut Oil (local),Liter,215.0,243.0,229.0,100 Liters,21171.0,21171.0,21171.0
2013-02-28,Oil,Coconut Oil (local),Liter,200.0,220.0,210.0,100 Liters,18750.0,18750.0,18750.0
2013-03-01,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-02,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-03,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-04,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-05,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-06,Oil,Coconut Oil (local),Liter,198.0,228.0,213.0,100 Liters,19700.0,19700.0,19700.0
2013-03-07,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-08,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-09,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-10,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-11,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-12,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-13,Oil,Coconut Oil (local),Liter,204.0,229.0,216.5,100 Liters,20150.0,20150.0,20150.0
2013-03-14,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-15,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-16,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
2013-03-17,Oil,Coconut Oil (local),Liter,,,,100 Liters,,,
