,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Oil,Mustard Oil (Local) - Ordinary,Liter,140.0,170.0,155.0,100 Liters,13078.0,13078.0,13078.0
2013-01-02,Oil,Mustard Oil (Local) - Ordinary,Liter,139.0,149.0,144.0,100 Liters,13244.0,13244.0,13244.0
2013-01-03,Oil,Mustard Oil (Local) - Ordinary,Liter,140.0,160.0,150.0,100 Liters,13078.0,13078.0,13078.0
2013-01-04,Oil,Mustard Oil (Local) - Ordinary,Liter,,,,100 Liters,,,
2013-01-05,Oil,Mustard Oil (Local) - Ordinary,Liter,,,,100 Liters,,,
2013-01-06,Oil,Mustard Oil (Local) - Ordinary,Liter,140.0,160.0,150.0,100 Liters,13078.0,13078.0,13078.0
2013-01-07,Oil,Mustard Oil (Local) - Ordinary,Liter,140.0,160.0,150.0,100 Liters,13078.0,13078.0,13078.0
2013-01-08,Oil,Mustard Oil (Local) - Ordinary,Liter,140.0,160.0,150.0,100 Liters,13078.0,13078.0,13078.0
2013-01-09,Oil,Mustard Oil (Local) - Ordinary,Liter,139.0,148.0,143.5,100 Liters,13448.0,13448.0,13448.0
2013-01-10,Oil,Mustard Oil (Local) - Ordinary,Liter,140.0,160.0,150.0,100 Liters,13078.0,13078.0,13078.0
2013-01-11,Oil,Mustard Oil (Local) - Ordinary,Liter,,,,100 Liters,,,
2013-01-12,Oil,Mustard Oil (Local) - Ordinary,Liter,,,,100 Liters,,,
2013-01-13,Oil,Mustard Oil (Local) - Ordinary,Liter,140.0,160.0,150.0,100 Liters,13078.0,13078.0,13078.0
2013-01-14,Oil,Mustard Oil (Local) - Ordinary,Liter,145.0,160.0,152.5,100 Liters,12950.0,12950.0,12950.0
2013-01-15,Oil,Mustard Oil (Local) - Ordinary,Liter,145.0,160.0,152.5,100 Liters,12950.0,12950.0,12950.0
2013-01-16,Oil,Mustard Oil (Local) - Ordinary,Liter,141.0,150.0,145.5,100 Liters,13462.0,13462.0,13462.0
2013-01-17,Oil,Mustard Oil (Local) - Ordinary,Liter,145.0,160.0,152.5,100 Liters,12950.0,12950.0,12950.0
2013-01-18,Oil,Mustard Oil (Local) - Ordinary,Liter,,,,100 Liters,,,
2013-01-19,Oil,Mustard Oil (Local) - Ordinary,Liter,,,,100 Liters,,,
