,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Oil,Mustard Oil (Local) - Superior quality,Liter,165.0,179.0,172.0,100 Liters,15898.0,15898.0,15898.0
2013-01-03,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-04,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-05,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-06,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-07,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-08,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-09,Oil,Mustard Oil (Local) - Superior quality,Liter,161.0,175.0,168.0,100 Liters,15558.0,15558.0,15558.0
2013-01-10,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-11,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-12,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-13,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-14,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-15,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-16,Oil,Mustard Oil (Local) - Superior quality,Liter,161.0,173.0,167.0,100 Liters,15406.0,15406.0,15406.0
2013-01-17,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-18,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-19,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-20,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-21,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-22,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-23,Oil,Mustard Oil (Local) - Superior quality,Liter,161.0,170.0,165.5,100 Liters,15208.0,15208.0,15208.0
2013-01-24,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-25,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-26,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-27,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-28,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-29,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-01-30,Oil,Mustard Oil (Local) - Superior quality,Liter,163.0,172.0,167.5,100 Liters,15197.0,15197.0,15197.0
2013-01-31,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-01,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-02,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-03,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-04,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-05,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-06,Oil,Mustard Oil (Local) - Superior quality,Liter,162.0,172.0,167.0,100 Liters,15180.0,15180.0,15180.0
2013-02-07,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-08,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-09,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-10,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-11,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-12,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-13,Oil,Mustard Oil (Local) - Superior quality,Liter,163.0,173.0,168.0,100 Liters,14893.0,14893.0,14893.0
2013-02-14,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-15,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-16,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-17,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-18,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-19,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-20,Oil,Mustard Oil (Local) - Superior quality,Liter,158.0,168.0,163.0,100 Liters,14601.0,14601.0,14601.0
2013-02-21,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-22,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-23,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-24,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-25,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-26,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-02-27,Oil,Mustard Oil (Local) - Superior quality,Liter,155.0,165.0,160.0,100 Liters,14842.0,14842.0,14842.0
2013-02-28,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,10600.0,10600.0,10600.0
2013-03-01,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-02,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-03,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-04,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-05,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-06,Oil,Mustard Oil (Local) - Superior quality,Liter,153.0,164.0,158.5,100 Liters,15155.0,15155.0,15155.0
2013-03-07,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-08,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-09,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-10,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-11,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-12,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-13,Oil,Mustard Oil (Local) - Superior quality,Liter,155.0,165.0,160.0,100 Liters,15225.0,15225.0,15225.0
2013-03-14,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-15,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-16,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-17,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-18,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-19,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-20,Oil,Mustard Oil (Local) - Superior quality,Liter,151.0,164.0,157.5,100 Liters,14890.0,14890.0,14890.0
2013-03-21,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-22,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-23,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-24,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-25,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-26,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-27,Oil,Mustard Oil (Local) - Superior quality,Liter,153.0,164.0,158.5,100 Liters,15220.0,15220.0,15220.0
2013-03-28,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-29,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-30,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-03-31,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-01,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-02,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-03,Oil,Mustard Oil (Local) - Superior quality,Liter,153.0,164.0,158.5,100 Liters,15080.0,15080.0,15080.0
2013-04-04,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-05,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-06,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-07,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-08,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-09,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-10,Oil,Mustard Oil (Local) - Superior quality,Liter,153.0,165.0,159.0,100 Liters,15000.0,15000.0,15000.0
2013-04-11,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-12,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-13,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-14,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-15,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-16,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-17,Oil,Mustard Oil (Local) - Superior quality,Liter,151.0,163.0,157.0,100 Liters,15009.0,15009.0,15009.0
2013-04-18,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-19,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-20,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-21,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-22,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-23,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-24,Oil,Mustard Oil (Local) - Superior quality,Liter,152.0,163.0,157.5,100 Liters,15082.0,15082.0,15082.0
2013-04-25,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-26,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-27,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-28,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-29,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-04-30,Oil,Mustard Oil (Local) - Superior quality,Liter,,,,100 Liters,,,
2013-05-01,Oil,Mustard Oil (Local) - Superior quality,Liter,133.0,141.0,137.0,100 Liters,12967.0,12967.0,12967.0
