,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Oil,Palm Oil,Liter,79.0,84.0,81.5,100 Liters,7477.0,7477.0,7477.0
2013-01-02,Oil,Palm Oil,Liter,83.0,86.0,84.5,100 Liters,7889.0,7889.0,7889.0
2013-01-03,Oil,Palm Oil,Liter,79.0,84.0,81.5,100 Liters,7278.0,7278.0,7278.0
2013-01-04,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-01-05,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-01-06,Oil,Palm Oil,Liter,78.0,84.0,81.0,100 Liters,7278.0,7278.0,7278.0
2013-01-07,Oil,Palm Oil,Liter,78.0,82.0,80.0,100 Liters,7278.0,7278.0,7278.0
2013-01-08,Oil,Palm Oil,Liter,78.0,80.0,79.0,100 Liters,7278.0,7278.0,7278.0
2013-01-09,Oil,Palm Oil,Liter,82.0,85.0,83.5,100 Liters,7897.0,7897.0,7897.0
2013-01-10,Oil,Palm Oil,Liter,75.0,80.0,77.5,100 Liters,7602.0,7602.0,7602.0
2013-01-11,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-01-12,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-01-13,Oil,Palm Oil,Liter,75.0,80.0,77.5,100 Liters,7602.0,7602.0,7602.0
2013-01-14,Oil,Palm Oil,Liter,80.0,88.0,84.0,100 Liters,8440.0,8440.0,8440.0
2013-01-15,Oil,Palm Oil,Liter,80.0,88.0,84.0,100 Liters,8470.0,8470.0,8470.0
2013-01-16,Oil,Palm Oil,Liter,82.0,85.0,83.5,100 Liters,7997.0,7997.0,7997.0
2013-01-17,Oil,Palm Oil,Liter,82.0,86.0,84.0,100 Liters,7970.0,7970.0,7970.0
2013-01-18,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-01-19,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-01-20,Oil,Palm Oil,Liter,82.0,86.0,84.0,100 Liters,7975.0,7975.0,7975.0
2013-01-21,Oil,Palm Oil,Liter,82.0,86.0,84.0,100 Liters,7975.0,7975.0,7975.0
2013-01-22,Oil,Palm Oil,Liter,82.0,86.0,84.0,100 Liters,7975.0,7975.0,7975.0
2013-01-23,Oil,Palm Oil,Liter,80.0,83.0,81.5,100 Liters,7940.0,7940.0,7940.0
2013-01-24,Oil,Palm Oil,Liter,81.0,86.0,83.5,100 Liters,7730.0,7730.0,7730.0
2013-01-25,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-01-26,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-01-27,Oil,Palm Oil,Liter,80.0,85.0,82.5,100 Liters,7730.0,7730.0,7730.0
2013-01-28,Oil,Palm Oil,Liter,80.0,85.0,82.5,100 Liters,7730.0,7730.0,7730.0
2013-01-29,Oil,Palm Oil,Liter,80.0,85.0,82.5,100 Liters,7650.0,7650.0,7650.0
2013-01-30,Oil,Palm Oil,Liter,81.0,83.0,82.0,100 Liters,7877.0,7877.0,7877.0
2013-01-31,Oil,Palm Oil,Liter,80.0,85.0,82.5,100 Liters,7220.0,7220.0,7220.0
2013-02-01,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-02,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-03,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-04,Oil,Palm Oil,Liter,82.0,84.0,83.0,100 Liters,7220.0,7220.0,7220.0
2013-02-05,Oil,Palm Oil,Liter,82.0,84.0,83.0,100 Liters,7220.0,7220.0,7220.0
2013-02-06,Oil,Palm Oil,Liter,81.0,84.0,82.5,100 Liters,7938.0,7938.0,7938.0
2013-02-07,Oil,Palm Oil,Liter,82.0,84.0,83.0,100 Liters,7600.0,7600.0,7600.0
2013-02-08,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-09,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-10,Oil,Palm Oil,Liter,80.0,84.0,82.0,100 Liters,7477.0,7477.0,7477.0
2013-02-11,Oil,Palm Oil,Liter,80.0,84.0,82.0,100 Liters,7477.0,7477.0,7477.0
2013-02-12,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-13,Oil,Palm Oil,Liter,81.0,83.0,82.0,100 Liters,7960.0,7960.0,7960.0
2013-02-14,Oil,Palm Oil,Liter,80.0,84.0,82.0,100 Liters,7500.0,7500.0,7500.0
2013-02-15,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-16,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-17,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-18,Oil,Palm Oil,Liter,80.0,84.0,82.0,100 Liters,7350.0,7350.0,7350.0
2013-02-19,Oil,Palm Oil,Liter,80.0,84.0,82.0,100 Liters,7350.0,7350.0,7350.0
2013-02-20,Oil,Palm Oil,Liter,80.0,83.0,81.5,100 Liters,7817.0,7817.0,7817.0
2013-02-21,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-22,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-23,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-24,Oil,Palm Oil,Liter,80.0,84.0,82.0,100 Liters,7350.0,7350.0,7350.0
2013-02-25,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-02-26,Oil,Palm Oil,Liter,80.0,83.0,81.5,100 Liters,7775.0,7775.0,7775.0
2013-02-27,Oil,Palm Oil,Liter,80.0,83.0,81.5,100 Liters,7953.0,7953.0,7953.0
2013-02-28,Oil,Palm Oil,Liter,77.0,79.0,78.0,100 Liters,7315.0,7315.0,7315.0
2013-03-01,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-03-02,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-03-03,Oil,Palm Oil,Liter,80.0,83.0,81.5,100 Liters,,,
2013-03-04,Oil,Palm Oil,Liter,80.0,83.0,81.5,100 Liters,,,
2013-03-05,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-03-06,Oil,Palm Oil,Liter,80.0,82.0,81.0,100 Liters,7819.0,7819.0,7819.0
2013-03-07,Oil,Palm Oil,Liter,80.0,83.0,81.5,100 Liters,,,
2013-03-08,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-03-09,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-03-10,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-03-11,Oil,Palm Oil,Liter,,,,100 Liters,,,
2013-03-12,Oil,Palm Oil,Liter,80.0,83.0,81.5,100 Liters,,,
2013-03-13,Oil,Palm Oil,Liter,80.0,82.0,81.0,100 Liters,7851.0,7851.0,7851.0
2013-03-14,Oil,Palm Oil,Liter,,,,100 Liters,,,
