,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2014-01-01,Oil,Sesame Oil(Till),Liter,40.0,42.0,41.0,100 Liters,,,
2014-01-02,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-03,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-04,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-05,Oil,Sesame Oil(Till),Liter,40.0,42.0,41.0,100 Liters,,,
2014-01-06,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-07,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-08,Oil,Sesame Oil(Till),Liter,40.0,42.0,41.0,100 Liters,,,
2014-01-09,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-10,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-11,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-12,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-13,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-14,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-15,Oil,Sesame Oil(Till),Liter,40.0,42.0,41.0,100 Liters,,,
2014-01-16,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-17,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-18,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-19,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-20,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-21,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-22,Oil,Sesame Oil(Till),Liter,40.0,42.0,41.0,100 Liters,,,
2014-01-23,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-24,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-25,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-26,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-27,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-28,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-29,Oil,Sesame Oil(Till),Liter,40.0,42.0,41.0,100 Liters,,,
2014-01-30,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-01-31,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-01,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-02,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-03,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-04,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-05,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-06,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-07,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-08,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-09,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-10,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-11,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-12,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-13,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
2014-02-14,Oil,Sesame Oil(Till),Liter,,,,100 Liters,,,
