,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2024-02-27,Oil,Soyabin Oil (1 Lit Bottle),Liter,161.0,163.0,162.0,100 Liters,15300.0,15300.0,15300.0
2024-02-28,Oil,Soyabin Oil (1 Lit Bottle),Liter,165.0,167.0,166.0,100 Liters,16050.0,16050.0,16050.0
2024-02-29,Oil,Soyabin Oil (1 Lit Bottle),Liter,164.0,167.0,165.5,100 Liters,16050.0,16050.0,16050.0
2024-03-01,Oil,Soyabin Oil (1 Lit Bottle),Liter,,,,100 Liters,,,
2024-03-02,Oil,Soyabin Oil (1 Lit Bottle),Liter,,,,100 Liters,,,
2024-03-03,Oil,Soyabin Oil (1 Lit Bottle),Liter,163.0,165.0,164.0,100 Liters,15933.0,15933.0,15933.0
2024-03-04,Oil,Soyabin Oil (1 Lit Bottle),Liter,162.0,163.0,162.5,100 Liters,15500.0,15500.0,15500.0
2024-03-05,Oil,Soyabin Oil (1 Lit Bottle),Liter,166.0,167.0,166.5,100 Liters,16300.0,16300.0,16300.0
2024-03-06,Oil,Soyabin Oil (1 Lit Bottle),Liter,166.0,167.0,166.5,100 Liters,16183.0,16183.0,16183.0
2024-03-07,Oil,Soyabin Oil (1 Lit Bottle),Liter,166.0,168.0,167.0,100 Liters,16229.0,16229.0,16229.0
2024-03-08,Oil,Soyabin Oil (1 Lit Bottle),Liter,168.0,170.0,169.0,100 Liters,,,
2024-03-09,Oil,Soyabin Oil (1 Lit Bottle),Liter,,,,100 Liters,,,
2024-03-10,Oil,Soyabin Oil (1 Lit Bottle),Liter,165.0,168.0,166.5,100 Liters,16283.0,16283.0,16283.0
2024-03-11,Oil,Soyabin Oil (1 Lit Bottle),Liter,165.0,168.0,166.5,100 Liters,16329.0,16329.0,16329.0
2024-03-12,Oil,Soyabin Oil (1 Lit Bottle),Liter,165.0,167.0,166.0,100 Liters,16329.0,16329.0,16329.0
2024-03-13,Oil,Soyabin Oil (1 Lit Bottle),Liter,165.0,168.0,166.5,100 Liters,16333.0,16333.0,16333.0
2024-03-14,Oil,Soyabin Oil (1 Lit Bottle),Liter,164.0,166.0,165.0,100 Liters,16183.0,16183.0,16183.0
2024-03-15,Oil,Soyabin Oil (1 Lit Bottle),Liter,,,,100 Liters,,,
2024-03-16,Oil,Soyabin Oil (1 Lit Bottle),Liter,,,,100 Liters,,,
2024-03-17,Oil,Soyabin Oil (1 Lit Bottle),Liter,,,,100 Liters,,,
2024-03-18,Oil,Soyabin Oil (1 Lit Bottle),Liter,164.0,166.0,165.0,100 Liters,16171.0,16171.0,16171.0
