,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2024-02-27,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,795.0,820.0,807.5,100 Liters,16200.0,16200.0,16200.0
2024-02-28,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,793.0,820.0,806.5,100 Liters,16200.0,16200.0,16200.0
2024-02-29,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,793.0,820.0,806.5,100 Liters,16200.0,16200.0,16200.0
2024-03-01,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,,,,100 Liters,,,
2024-03-02,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,,,,100 Liters,,,
2024-03-03,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,793.0,820.0,806.5,100 Liters,16200.0,16200.0,16200.0
2024-03-04,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,793.0,817.0,805.0,100 Liters,16200.0,16200.0,16200.0
2024-03-05,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,793.0,813.0,803.0,100 Liters,15800.0,15800.0,15800.0
2024-03-06,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,793.0,813.0,803.0,100 Liters,15800.0,15800.0,15800.0
2024-03-07,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,793.0,813.0,803.0,100 Liters,15800.0,15800.0,15800.0
2024-03-08,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,790.0,820.0,805.0,100 Liters,,,
2024-03-09,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,,,,100 Liters,,,
2024-03-10,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,790.0,810.0,800.0,100 Liters,15800.0,15800.0,15800.0
2024-03-11,Oil,Soyabin Oil (5 Liter Bottle),5 Litter,790.0,810.0,800.0,100 Liters,15800.0,15800.0,15800.0
