,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Oil,Soybean Oil(loose),Liter,114.0,116.0,115.0,100 Liters,10518.0,10518.0,10518.0
2013-01-02,Oil,Soybean Oil(loose),Liter,116.0,118.0,117.0,100 Liters,11219.0,11219.0,11219.0
2013-01-03,Oil,Soybean Oil(loose),Liter,114.0,118.0,116.0,100 Liters,10518.0,10518.0,10518.0
2013-01-04,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-01-05,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-01-06,Oil,Soybean Oil(loose),Liter,114.0,118.0,116.0,100 Liters,10518.0,10518.0,10518.0
2013-01-07,Oil,Soybean Oil(loose),Liter,114.0,118.0,116.0,100 Liters,10518.0,10518.0,10518.0
2013-01-08,Oil,Soybean Oil(loose),Liter,114.0,117.0,115.5,100 Liters,10518.0,10518.0,10518.0
2013-01-09,Oil,Soybean Oil(loose),Liter,115.0,117.0,116.0,100 Liters,11122.0,11122.0,11122.0
2013-01-10,Oil,Soybean Oil(loose),Liter,114.0,117.0,115.5,100 Liters,10717.0,10717.0,10717.0
2013-01-11,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-01-12,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-01-13,Oil,Soybean Oil(loose),Liter,113.0,117.0,115.0,100 Liters,10717.0,10717.0,10717.0
2013-01-14,Oil,Soybean Oil(loose),Liter,118.0,121.0,119.5,100 Liters,10900.0,10900.0,10900.0
2013-01-15,Oil,Soybean Oil(loose),Liter,119.0,121.0,120.0,100 Liters,10900.0,10900.0,10900.0
2013-01-16,Oil,Soybean Oil(loose),Liter,117.0,119.0,118.0,100 Liters,11385.0,11385.0,11385.0
2013-01-17,Oil,Soybean Oil(loose),Liter,119.0,124.0,121.5,100 Liters,11340.0,11340.0,11340.0
2013-01-18,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-01-19,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-01-20,Oil,Soybean Oil(loose),Liter,122.0,124.0,123.0,100 Liters,11340.0,11340.0,11340.0
2013-01-21,Oil,Soybean Oil(loose),Liter,122.0,124.0,123.0,100 Liters,11340.0,11340.0,11340.0
2013-01-22,Oil,Soybean Oil(loose),Liter,122.0,124.0,123.0,100 Liters,11315.0,11315.0,11315.0
2013-01-23,Oil,Soybean Oil(loose),Liter,116.0,118.0,117.0,100 Liters,11350.0,11350.0,11350.0
2013-01-24,Oil,Soybean Oil(loose),Liter,122.0,124.0,123.0,100 Liters,10870.0,10870.0,10870.0
2013-01-25,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-01-26,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-01-27,Oil,Soybean Oil(loose),Liter,120.0,124.0,122.0,100 Liters,10960.0,10960.0,10960.0
2013-01-28,Oil,Soybean Oil(loose),Liter,120.0,124.0,122.0,100 Liters,10960.0,10960.0,10960.0
2013-01-29,Oil,Soybean Oil(loose),Liter,120.0,123.0,121.5,100 Liters,10960.0,10960.0,10960.0
2013-01-30,Oil,Soybean Oil(loose),Liter,117.0,119.0,118.0,100 Liters,11369.0,11369.0,11369.0
2013-01-31,Oil,Soybean Oil(loose),Liter,120.0,123.0,121.5,100 Liters,11090.0,11090.0,11090.0
2013-02-01,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-02,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-03,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-04,Oil,Soybean Oil(loose),Liter,120.0,123.0,121.5,100 Liters,11090.0,11090.0,11090.0
2013-02-05,Oil,Soybean Oil(loose),Liter,120.0,123.0,121.5,100 Liters,11090.0,11090.0,11090.0
2013-02-06,Oil,Soybean Oil(loose),Liter,117.0,118.0,117.5,100 Liters,11343.0,11343.0,11343.0
2013-02-07,Oil,Soybean Oil(loose),Liter,119.0,121.0,120.0,100 Liters,10700.0,10700.0,10700.0
2013-02-08,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-09,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-10,Oil,Soybean Oil(loose),Liter,116.0,122.0,119.0,100 Liters,10800.0,10800.0,10800.0
2013-02-11,Oil,Soybean Oil(loose),Liter,116.0,122.0,119.0,100 Liters,10720.0,10720.0,10720.0
2013-02-12,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-13,Oil,Soybean Oil(loose),Liter,117.0,118.0,117.5,100 Liters,11237.0,11237.0,11237.0
2013-02-14,Oil,Soybean Oil(loose),Liter,115.0,117.0,116.0,100 Liters,10650.0,10650.0,10650.0
2013-02-15,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-16,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-17,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-18,Oil,Soybean Oil(loose),Liter,115.0,117.0,116.0,100 Liters,10760.0,10760.0,10760.0
2013-02-19,Oil,Soybean Oil(loose),Liter,115.0,117.0,116.0,100 Liters,10760.0,10760.0,10760.0
2013-02-20,Oil,Soybean Oil(loose),Liter,115.0,117.0,116.0,100 Liters,11168.0,11168.0,11168.0
2013-02-21,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-22,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-23,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-24,Oil,Soybean Oil(loose),Liter,114.0,117.0,115.5,100 Liters,10760.0,10760.0,10760.0
2013-02-25,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-02-26,Oil,Soybean Oil(loose),Liter,114.0,116.0,115.0,100 Liters,10780.0,10780.0,10780.0
2013-02-27,Oil,Soybean Oil(loose),Liter,115.0,117.0,116.0,100 Liters,11229.0,11229.0,11229.0
2013-02-28,Oil,Soybean Oil(loose),Liter,116.0,118.0,117.0,100 Liters,10670.0,10670.0,10670.0
2013-03-01,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-03-02,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-03-03,Oil,Soybean Oil(loose),Liter,114.0,116.0,115.0,100 Liters,,,
2013-03-04,Oil,Soybean Oil(loose),Liter,114.0,116.0,115.0,100 Liters,,,
2013-03-05,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-03-06,Oil,Soybean Oil(loose),Liter,116.0,117.0,116.5,100 Liters,11301.0,11301.0,11301.0
2013-03-07,Oil,Soybean Oil(loose),Liter,114.0,116.0,115.0,100 Liters,,,
2013-03-08,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-03-09,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
2013-03-10,Oil,Soybean Oil(loose),Liter,,,,100 Liters,,,
