,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Oil,Vegetable Ghee,Liter,109.0,113.0,111.0,100 Liters,10286.0,10286.0,10286.0
2013-01-03,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-04,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-05,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-06,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-07,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-08,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-09,Oil,Vegetable Ghee,Liter,110.0,113.0,111.5,100 Liters,10306.0,10306.0,10306.0
2013-01-10,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-11,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-12,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-13,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-14,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-15,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-16,Oil,Vegetable Ghee,Liter,108.0,111.0,109.5,100 Liters,10156.0,10156.0,10156.0
2013-01-17,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-18,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-19,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-20,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-21,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-22,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-23,Oil,Vegetable Ghee,Liter,110.0,113.0,111.5,100 Liters,10197.0,10197.0,10197.0
2013-01-24,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-25,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-26,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-27,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-28,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-29,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-01-30,Oil,Vegetable Ghee,Liter,110.0,113.0,111.5,100 Liters,10358.0,10358.0,10358.0
2013-01-31,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-01,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-02,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-03,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-04,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-05,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-06,Oil,Vegetable Ghee,Liter,109.0,112.0,110.5,100 Liters,10345.0,10345.0,10345.0
2013-02-07,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-08,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-09,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-10,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-11,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-12,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-13,Oil,Vegetable Ghee,Liter,109.0,112.0,110.5,100 Liters,10339.0,10339.0,10339.0
2013-02-14,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-15,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-16,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-17,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-18,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-19,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-20,Oil,Vegetable Ghee,Liter,107.0,111.0,109.0,100 Liters,10232.0,10232.0,10232.0
2013-02-21,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-22,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-23,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-24,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-25,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-26,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-02-27,Oil,Vegetable Ghee,Liter,107.0,111.0,109.0,100 Liters,10126.0,10126.0,10126.0
2013-02-28,Oil,Vegetable Ghee,Liter,100.0,105.0,102.5,100 Liters,9650.0,9650.0,9650.0
2013-03-01,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-02,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-03,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-04,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-05,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-06,Oil,Vegetable Ghee,Liter,109.0,113.0,111.0,100 Liters,10321.0,10321.0,10321.0
2013-03-07,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-08,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-09,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-10,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-11,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-12,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-13,Oil,Vegetable Ghee,Liter,109.0,113.0,111.0,100 Liters,10321.0,10321.0,10321.0
2013-03-14,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-15,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-16,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-17,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-18,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-19,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-20,Oil,Vegetable Ghee,Liter,110.0,114.0,112.0,100 Liters,10286.0,10286.0,10286.0
2013-03-21,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-22,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-23,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-24,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-25,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-26,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-27,Oil,Vegetable Ghee,Liter,110.0,114.0,112.0,100 Liters,10233.0,10233.0,10233.0
2013-03-28,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-29,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-30,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-03-31,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-01,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-02,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-03,Oil,Vegetable Ghee,Liter,111.0,115.0,113.0,100 Liters,10204.0,10204.0,10204.0
2013-04-04,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-05,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-06,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-07,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-08,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-09,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-10,Oil,Vegetable Ghee,Liter,110.0,115.0,112.5,100 Liters,10204.0,10204.0,10204.0
2013-04-11,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-12,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-13,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-14,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-15,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-16,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-17,Oil,Vegetable Ghee,Liter,111.0,115.0,113.0,100 Liters,10204.0,10204.0,10204.0
2013-04-18,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-19,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-20,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-21,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
2013-04-22,Oil,Vegetable Ghee,Liter,,,,100 Liters,,,
