,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Others,Akher Gur (red sugar),Kilogram,60.0,80.0,70.0,Quintal,,,
2013-01-02,Others,Akher Gur (red sugar),Kilogram,57.0,63.0,60.0,Quintal,5686.0,5686.0,5686.0
2013-01-03,Others,Akher Gur (red sugar),Kilogram,60.0,80.0,70.0,Quintal,,,
2013-01-04,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-05,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-06,Others,Akher Gur (red sugar),Kilogram,60.0,80.0,70.0,Quintal,,,
2013-01-07,Others,Akher Gur (red sugar),Kilogram,60.0,80.0,70.0,Quintal,,,
2013-01-08,Others,Akher Gur (red sugar),Kilogram,60.0,80.0,70.0,Quintal,,,
2013-01-09,Others,Akher Gur (red sugar),Kilogram,57.0,62.0,59.5,Quintal,5686.0,5686.0,5686.0
2013-01-10,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-11,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-12,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-13,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-14,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-15,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-16,Others,Akher Gur (red sugar),Kilogram,57.0,62.0,59.5,Quintal,5733.0,5733.0,5733.0
2013-01-17,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-18,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-19,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-20,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-21,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-22,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-23,Others,Akher Gur (red sugar),Kilogram,57.0,62.0,59.5,Quintal,5733.0,5733.0,5733.0
2013-01-24,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-25,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-26,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-27,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-28,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-29,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-01-30,Others,Akher Gur (red sugar),Kilogram,55.0,60.0,57.5,Quintal,5450.0,5450.0,5450.0
2013-01-31,Others,Akher Gur (red sugar),Kilogram,60.0,75.0,67.5,Quintal,,,
2013-02-01,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-02,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-03,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-04,Others,Akher Gur (red sugar),Kilogram,60.0,70.0,65.0,Quintal,,,
2013-02-05,Others,Akher Gur (red sugar),Kilogram,60.0,70.0,65.0,Quintal,,,
2013-02-06,Others,Akher Gur (red sugar),Kilogram,52.0,58.0,55.0,Quintal,5300.0,5300.0,5300.0
2013-02-07,Others,Akher Gur (red sugar),Kilogram,60.0,70.0,65.0,Quintal,,,
2013-02-08,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-09,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-10,Others,Akher Gur (red sugar),Kilogram,60.0,70.0,65.0,Quintal,,,
2013-02-11,Others,Akher Gur (red sugar),Kilogram,60.0,70.0,65.0,Quintal,,,
2013-02-12,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-13,Others,Akher Gur (red sugar),Kilogram,52.0,57.0,54.5,Quintal,5256.0,5256.0,5256.0
2013-02-14,Others,Akher Gur (red sugar),Kilogram,60.0,70.0,65.0,Quintal,,,
2013-02-15,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-16,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-17,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-18,Others,Akher Gur (red sugar),Kilogram,60.0,70.0,65.0,Quintal,,,
2013-02-19,Others,Akher Gur (red sugar),Kilogram,60.0,70.0,65.0,Quintal,,,
2013-02-20,Others,Akher Gur (red sugar),Kilogram,55.0,61.0,58.0,Quintal,5350.0,5350.0,5350.0
2013-02-21,Others,Akher Gur (red sugar),Kilogram,,,,Quintal,,,
