,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Others,Chitta Gur (red sugar),Kilogram,32.0,34.0,33.0,Quintal,,,
2013-01-03,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-04,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-05,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-06,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-07,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-08,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-09,Others,Chitta Gur (red sugar),Kilogram,70.0,100.0,85.0,Quintal,,,
2013-01-10,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-11,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-12,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-13,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-14,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-15,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-16,Others,Chitta Gur (red sugar),Kilogram,70.0,100.0,85.0,Quintal,,,
2013-01-17,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-18,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-19,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-20,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-21,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-22,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-23,Others,Chitta Gur (red sugar),Kilogram,70.0,100.0,85.0,Quintal,,,
2013-01-24,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-25,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-26,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-27,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-28,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-29,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-01-30,Others,Chitta Gur (red sugar),Kilogram,70.0,100.0,85.0,Quintal,,,
2013-01-31,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-01,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-02,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-03,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-04,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-05,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-06,Others,Chitta Gur (red sugar),Kilogram,70.0,100.0,85.0,Quintal,,,
2013-02-07,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-08,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-09,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-10,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-11,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-12,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-13,Others,Chitta Gur (red sugar),Kilogram,70.0,100.0,85.0,Quintal,,,
2013-02-14,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-15,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-16,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-17,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-18,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-19,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-20,Others,Chitta Gur (red sugar),Kilogram,32.0,34.0,33.0,Quintal,,,
2013-02-21,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-22,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-23,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-24,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-25,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-26,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-02-27,Others,Chitta Gur (red sugar),Kilogram,32.0,34.0,33.0,Quintal,,,
2013-02-28,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-01,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-02,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-03,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-04,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-05,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-06,Others,Chitta Gur (red sugar),Kilogram,32.0,34.0,33.0,Quintal,,,
2013-03-07,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-08,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-09,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-10,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-11,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-12,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-13,Others,Chitta Gur (red sugar),Kilogram,32.0,34.0,33.0,Quintal,,,
2013-03-14,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-15,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-16,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-17,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-18,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-19,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-20,Others,Chitta Gur (red sugar),Kilogram,32.0,34.0,33.0,Quintal,,,
2013-03-21,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-22,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-23,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-24,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-25,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-26,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-27,Others,Chitta Gur (red sugar),Kilogram,32.0,34.0,33.0,Quintal,,,
2013-03-28,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-29,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-30,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-03-31,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-01,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-02,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-03,Others,Chitta Gur (red sugar),Kilogram,32.0,34.0,33.0,Quintal,,,
2013-04-04,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-05,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-06,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-07,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-08,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-09,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-10,Others,Chitta Gur (red sugar),Kilogram,32.0,34.0,33.0,Quintal,,,
2013-04-11,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-12,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-13,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-14,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-15,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-16,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
2013-04-17,Others,Chitta Gur (red sugar),Kilogram,32.0,34.0,33.0,Quintal,,,
2013-04-18,Others,Chitta Gur (red sugar),Kilogram,,,,Quintal,,,
