,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-12-19,Others,Firewood - Shimul,Kilogram,,,,Quintal,540.0,540.0,540.0
2013-12-20,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-21,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-22,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-23,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-24,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-25,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-26,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-27,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-28,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-29,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-30,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2013-12-31,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-01,Others,Firewood - Shimul,Kilogram,,,,Quintal,540.0,540.0,540.0
2014-01-02,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-03,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-04,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-05,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-06,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-07,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-08,Others,Firewood - Shimul,Kilogram,,,,Quintal,540.0,540.0,540.0
2014-01-09,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-10,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-11,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-12,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-13,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-14,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-15,Others,Firewood - Shimul,Kilogram,,,,Quintal,540.0,540.0,540.0
2014-01-16,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-17,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-18,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-19,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-20,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-21,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-22,Others,Firewood - Shimul,Kilogram,,,,Quintal,540.0,540.0,540.0
2014-01-23,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-24,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-25,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-26,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-27,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-28,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-29,Others,Firewood - Shimul,Kilogram,,,,Quintal,540.0,540.0,540.0
2014-01-30,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-01-31,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-01,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-02,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-03,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-04,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-05,Others,Firewood - Shimul,Kilogram,,,,Quintal,650.0,650.0,650.0
2014-02-06,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-07,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-08,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-09,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-10,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-11,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-12,Others,Firewood - Shimul,Kilogram,,,,Quintal,650.0,650.0,650.0
2014-02-13,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-14,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-15,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-16,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-17,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-18,Others,Firewood - Shimul,Kilogram,,,,Quintal,,,
2014-02-19,Others,Firewood - Shimul,Kilogram,,,,Quintal,650.0,650.0,650.0
