,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Others,Firewood - Tamarind/Wood apple,Kilogram,5.0,6.0,5.5,Quintal,600.0,600.0,600.0
2013-01-03,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-04,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-05,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-06,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-07,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-08,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-09,Others,Firewood - Tamarind/Wood apple,Kilogram,5.0,6.0,5.5,Quintal,600.0,600.0,600.0
2013-01-10,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-11,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-12,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-13,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-14,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-15,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-16,Others,Firewood - Tamarind/Wood apple,Kilogram,5.0,6.0,5.5,Quintal,600.0,600.0,600.0
2013-01-17,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-18,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-19,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
2013-01-20,Others,Firewood - Tamarind/Wood apple,Kilogram,,,,Quintal,,,
