,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2023-09-24,Others,Garlic (local) - Big Size,Kilogram,207.0,224.0,215.5,Quintal,20152.0,20152.0,20152.0
2023-09-25,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-09-26,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-09-27,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-09-28,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-09-29,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-09-30,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-01,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-02,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-03,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-04,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-05,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-06,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-07,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-08,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-09,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-10,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-11,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-12,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-13,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-14,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-15,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-16,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-17,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-18,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-19,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-20,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-21,Others,Garlic (local) - Big Size,Kilogram,200.0,220.0,210.0,Quintal,21000.0,21000.0,21000.0
2023-10-22,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-23,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-24,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-25,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-26,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-27,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-28,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-29,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-30,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-10-31,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-01,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-02,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-03,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-04,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-05,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-06,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-07,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-08,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-09,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-10,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-11,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-12,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-13,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-14,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-15,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-16,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-17,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-18,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-19,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-20,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-21,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-22,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-23,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-24,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-25,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-26,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-27,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-28,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-29,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-11-30,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-01,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-02,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-03,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-04,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-05,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-06,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-07,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-08,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-09,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-10,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-11,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-12,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-13,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-14,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-15,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-16,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-17,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-18,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-19,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-20,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-21,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-22,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-23,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-24,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-25,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-26,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-27,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-28,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-29,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-30,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2023-12-31,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-01,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-02,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-03,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-04,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-05,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-06,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-07,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-08,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-09,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-10,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-11,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-12,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-13,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-14,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-15,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-16,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-17,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-18,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-19,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-20,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-21,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-22,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-23,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-24,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-25,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-26,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-27,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-28,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-29,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-30,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-01-31,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-01,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-02,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-03,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-04,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-05,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-06,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-07,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-08,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-09,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-10,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-11,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-12,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-13,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-14,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-15,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-16,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-17,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-18,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-19,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-20,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-21,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-22,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-23,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-24,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-25,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-26,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-27,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-28,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-02-29,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-01,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-02,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-03,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-04,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-05,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-06,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-07,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-08,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-09,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-10,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-11,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-12,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-13,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-14,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-15,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-16,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-17,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-18,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-19,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-20,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-21,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-22,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-23,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2024-03-24,Others,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
