,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Others,Gold (gini),10 gm,48914.0,50568.0,49741.0,11.66 gm,55202.0,55202.0,55202.0
2013-01-03,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-04,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-05,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-06,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-07,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-08,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-09,Others,Gold (gini),10 gm,48914.0,50354.0,49634.0,11.66 gm,55178.0,55178.0,55178.0
2013-01-10,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-11,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-12,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-13,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-14,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-15,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-16,Others,Gold (gini),10 gm,48786.0,50257.0,49521.5,11.66 gm,55447.0,55447.0,55447.0
2013-01-17,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-18,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-19,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-20,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-21,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-22,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-23,Others,Gold (gini),10 gm,47920.0,49575.0,48747.5,11.66 gm,54442.0,54442.0,54442.0
2013-01-24,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-25,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-26,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-27,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-28,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-29,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-01-30,Others,Gold (gini),10 gm,46654.0,48671.0,47662.5,11.66 gm,54196.0,54196.0,54196.0
2013-01-31,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-01,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-02,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-03,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-04,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-05,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-06,Others,Gold (gini),10 gm,46189.0,48890.0,47539.5,11.66 gm,54604.0,54604.0,54604.0
2013-02-07,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-08,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-09,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-10,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-11,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-12,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-13,Others,Gold (gini),10 gm,45893.0,48799.0,47346.0,11.66 gm,53233.0,53233.0,53233.0
2013-02-14,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-15,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-16,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-17,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-18,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-19,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-20,Others,Gold (gini),10 gm,46963.0,48438.0,47700.5,11.66 gm,53913.0,53913.0,53913.0
2013-02-21,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-22,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-23,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-24,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-25,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-26,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-02-27,Others,Gold (gini),10 gm,46748.0,48838.0,47793.0,11.66 gm,54379.0,54379.0,54379.0
2013-02-28,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-01,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-02,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-03,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-04,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-05,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-06,Others,Gold (gini),10 gm,46856.0,49278.0,48067.0,11.66 gm,53922.0,53922.0,53922.0
2013-03-07,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-08,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-09,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-10,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-11,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-12,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-13,Others,Gold (gini),10 gm,46201.0,49130.0,47665.5,11.66 gm,54104.0,54104.0,54104.0
2013-03-14,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-15,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-16,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-17,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-18,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-19,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-20,Others,Gold (gini),10 gm,44926.0,47652.0,46289.0,11.66 gm,52788.0,52788.0,52788.0
2013-03-21,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-22,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-23,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-24,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-25,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-26,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-27,Others,Gold (gini),10 gm,44701.0,48352.0,46526.5,11.66 gm,53604.0,53604.0,53604.0
2013-03-28,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-29,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-30,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-03-31,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-01,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-02,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-03,Others,Gold (gini),10 gm,44594.0,48245.0,46419.5,11.66 gm,52871.0,52871.0,52871.0
2013-04-04,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-05,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-06,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-07,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-08,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-09,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-10,Others,Gold (gini),10 gm,45083.0,48186.0,46634.5,11.66 gm,52388.0,52388.0,52388.0
2013-04-11,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-12,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-13,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-14,Others,Gold (gini),10 gm,,,,11.66 gm,,,
2013-04-15,Others,Gold (gini),10 gm,,,,11.66 gm,,,
