,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2017-06-22,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-06-23,Others,Goor,Kilogram,,,,Quintal,,,
2017-06-24,Others,Goor,Kilogram,,,,Quintal,,,
2017-06-25,Others,Goor,Kilogram,,,,Quintal,,,
2017-06-26,Others,Goor,Kilogram,,,,Quintal,,,
2017-06-27,Others,Goor,Kilogram,,,,Quintal,,,
2017-06-28,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-06-29,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-06-30,Others,Goor,Kilogram,,,,Quintal,,,
2017-07-01,Others,Goor,Kilogram,,,,Quintal,,,
2017-07-02,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-03,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-04,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-05,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-06,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-07,Others,Goor,Kilogram,,,,Quintal,,,
2017-07-08,Others,Goor,Kilogram,,,,Quintal,,,
2017-07-09,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-10,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-11,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-12,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-13,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-14,Others,Goor,Kilogram,,,,Quintal,,,
2017-07-15,Others,Goor,Kilogram,,,,Quintal,,,
2017-07-16,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
2017-07-17,Others,Goor,Kilogram,80.0,85.0,82.5,Quintal,7800.0,7800.0,7800.0
