,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Others,Iodized Salt (Loose) - Ordinary,Kilogram,14.0,15.0,14.5,Quintal,1300.0,1300.0,1300.0
2013-01-03,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-04,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-05,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-06,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-07,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-08,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-09,Others,Iodized Salt (Loose) - Ordinary,Kilogram,14.0,15.0,14.5,Quintal,1295.0,1295.0,1295.0
2013-01-10,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-11,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-12,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-13,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-14,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-15,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-16,Others,Iodized Salt (Loose) - Ordinary,Kilogram,14.0,16.0,15.0,Quintal,1194.0,1194.0,1194.0
2013-01-17,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-18,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-19,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-20,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-21,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-22,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-23,Others,Iodized Salt (Loose) - Ordinary,Kilogram,14.0,16.0,15.0,Quintal,1180.0,1180.0,1180.0
2013-01-24,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-25,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-26,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-27,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-28,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-29,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-30,Others,Iodized Salt (Loose) - Ordinary,Kilogram,14.0,15.0,14.5,Quintal,1192.0,1192.0,1192.0
2013-01-31,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-01,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-02,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-03,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-04,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-05,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-06,Others,Iodized Salt (Loose) - Ordinary,Kilogram,14.0,16.0,15.0,Quintal,1236.0,1236.0,1236.0
2013-02-07,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-08,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-09,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-10,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-11,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-12,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-13,Others,Iodized Salt (Loose) - Ordinary,Kilogram,14.0,16.0,15.0,Quintal,1214.0,1214.0,1214.0
2013-02-14,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-15,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-16,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-17,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-18,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-19,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-20,Others,Iodized Salt (Loose) - Ordinary,Kilogram,13.0,15.0,14.0,Quintal,1136.0,1136.0,1136.0
2013-02-21,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-22,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-23,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-24,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-25,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-26,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-27,Others,Iodized Salt (Loose) - Ordinary,Kilogram,13.0,15.0,14.0,Quintal,1120.0,1120.0,1120.0
2013-02-28,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-01,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-02,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-03,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-04,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-05,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-06,Others,Iodized Salt (Loose) - Ordinary,Kilogram,13.0,15.0,14.0,Quintal,1171.0,1171.0,1171.0
2013-03-07,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-08,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-09,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-10,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-11,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-12,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-13,Others,Iodized Salt (Loose) - Ordinary,Kilogram,13.0,15.0,14.0,Quintal,1171.0,1171.0,1171.0
2013-03-14,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-15,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-16,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-17,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-18,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-19,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-20,Others,Iodized Salt (Loose) - Ordinary,Kilogram,13.0,15.0,14.0,Quintal,1171.0,1171.0,1171.0
2013-03-21,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-22,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-23,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-24,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-25,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-26,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-27,Others,Iodized Salt (Loose) - Ordinary,Kilogram,13.0,15.0,14.0,Quintal,1171.0,1171.0,1171.0
2013-03-28,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-29,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-30,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-03-31,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
2013-04-01,Others,Iodized Salt (Loose) - Ordinary,Kilogram,,,,Quintal,,,
