,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Others,Khesari-Husk,Kilogram,35.0,36.0,35.5,Quintal,3133.0,3133.0,3133.0
2013-01-03,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-04,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-05,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-06,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-07,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-08,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-09,Others,Khesari-Husk,Kilogram,35.0,37.0,36.0,Quintal,3208.0,3208.0,3208.0
2013-01-10,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-11,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-12,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-13,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-14,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-15,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-16,Others,Khesari-Husk,Kilogram,35.0,36.0,35.5,Quintal,3179.0,3179.0,3179.0
2013-01-17,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-18,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-19,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-20,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-21,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-22,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-23,Others,Khesari-Husk,Kilogram,35.0,37.0,36.0,Quintal,3242.0,3242.0,3242.0
2013-01-24,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-25,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-26,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-27,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-28,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-29,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-01-30,Others,Khesari-Husk,Kilogram,34.0,36.0,35.0,Quintal,3121.0,3121.0,3121.0
2013-01-31,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-01,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-02,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-03,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-04,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-05,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-06,Others,Khesari-Husk,Kilogram,33.0,34.0,33.5,Quintal,3192.0,3192.0,3192.0
2013-02-07,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-08,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-09,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-10,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-11,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-12,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-13,Others,Khesari-Husk,Kilogram,34.0,35.0,34.5,Quintal,3208.0,3208.0,3208.0
2013-02-14,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-15,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-16,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-17,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-18,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-19,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-20,Others,Khesari-Husk,Kilogram,36.0,38.0,37.0,Quintal,3108.0,3108.0,3108.0
2013-02-21,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-22,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-23,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-24,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-25,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-26,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-02-27,Others,Khesari-Husk,Kilogram,36.0,38.0,37.0,Quintal,3100.0,3100.0,3100.0
2013-02-28,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-01,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-02,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-03,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-04,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-05,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-06,Others,Khesari-Husk,Kilogram,35.0,36.0,35.5,Quintal,3250.0,3250.0,3250.0
2013-03-07,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-08,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-09,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-10,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-11,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-12,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-13,Others,Khesari-Husk,Kilogram,34.0,36.0,35.0,Quintal,3208.0,3208.0,3208.0
2013-03-14,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-15,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-16,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-17,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-18,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-19,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-20,Others,Khesari-Husk,Kilogram,33.0,35.0,34.0,Quintal,3150.0,3150.0,3150.0
2013-03-21,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-22,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-23,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-24,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-25,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-26,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-27,Others,Khesari-Husk,Kilogram,33.0,34.0,33.5,Quintal,3125.0,3125.0,3125.0
2013-03-28,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-29,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-30,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-03-31,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-01,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-02,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-03,Others,Khesari-Husk,Kilogram,33.0,35.0,34.0,Quintal,3125.0,3125.0,3125.0
2013-04-04,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-05,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-06,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-07,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-08,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-09,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-10,Others,Khesari-Husk,Kilogram,33.0,34.0,33.5,Quintal,3150.0,3150.0,3150.0
2013-04-11,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-12,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-13,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-14,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-15,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-16,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-17,Others,Khesari-Husk,Kilogram,33.0,34.0,33.5,Quintal,3108.0,3108.0,3108.0
2013-04-18,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-19,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-20,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-21,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-22,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-23,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-24,Others,Khesari-Husk,Kilogram,32.0,33.0,32.5,Quintal,2986.0,2986.0,2986.0
2013-04-25,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-26,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-27,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-28,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-29,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-04-30,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-01,Others,Khesari-Husk,Kilogram,37.0,39.0,38.0,Quintal,3567.0,3567.0,3567.0
2013-05-02,Others,Khesari-Husk,Kilogram,27.0,29.0,28.0,Quintal,2333.0,2333.0,2333.0
2013-05-03,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-04,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-05,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-06,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-07,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-08,Others,Khesari-Husk,Kilogram,31.0,32.0,31.5,Quintal,3067.0,3067.0,3067.0
2013-05-09,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-10,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-11,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-12,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-13,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-14,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-15,Others,Khesari-Husk,Kilogram,30.0,31.0,30.5,Quintal,2757.0,2757.0,2757.0
2013-05-16,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-17,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-18,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
2013-05-19,Others,Khesari-Husk,Kilogram,,,,Quintal,,,
