,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Others,Paddy-Husk,Kilogram,9.0,10.0,9.5,Quintal,698.0,698.0,698.0
2013-01-03,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-04,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-05,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-06,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-07,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-08,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-09,Others,Paddy-Husk,Kilogram,9.0,10.0,9.5,Quintal,710.0,710.0,710.0
2013-01-10,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-11,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-12,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-13,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-14,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-15,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-16,Others,Paddy-Husk,Kilogram,9.0,10.0,9.5,Quintal,709.0,709.0,709.0
2013-01-17,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-18,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-19,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-20,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-21,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-22,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-23,Others,Paddy-Husk,Kilogram,9.0,11.0,10.0,Quintal,707.0,707.0,707.0
2013-01-24,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-25,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-26,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-27,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-28,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-29,Others,Paddy-Husk,Kilogram,,,,Quintal,,,
2013-01-30,Others,Paddy-Husk,Kilogram,9.0,11.0,10.0,Quintal,711.0,711.0,711.0
