,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Others,Silver,10 gm,1280.0,1292.0,1286.0,11.66 gm,1409.0,1409.0,1409.0
2013-01-03,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-04,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-05,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-06,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-07,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-08,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-09,Others,Silver,10 gm,1270.0,1281.0,1275.5,11.66 gm,1391.0,1391.0,1391.0
2013-01-10,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-11,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-12,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-13,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-14,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-15,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-16,Others,Silver,10 gm,1258.0,1270.0,1264.0,11.66 gm,1387.0,1387.0,1387.0
2013-01-17,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-18,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-19,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-20,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-21,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-22,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-23,Others,Silver,10 gm,1238.0,1251.0,1244.5,11.66 gm,1408.0,1408.0,1408.0
2013-01-24,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-25,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-26,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-27,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-28,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-29,Others,Silver,10 gm,,,,11.66 gm,,,
2013-01-30,Others,Silver,10 gm,1191.0,1203.0,1197.0,11.66 gm,1377.0,1377.0,1377.0
2013-01-31,Others,Silver,10 gm,,,,11.66 gm,,,
2013-02-01,Others,Silver,10 gm,,,,11.66 gm,,,
2013-02-02,Others,Silver,10 gm,,,,11.66 gm,,,
2013-02-03,Others,Silver,10 gm,,,,11.66 gm,,,
