,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4530.0,4530.0,4530.0
2013-01-02,Others,Sugar (Imported),Kilogram,48.0,49.0,48.5,Quintal,4605.0,4605.0,4605.0
2013-01-03,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4530.0,4530.0,4530.0
2013-01-04,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-01-05,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-01-06,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4530.0,4530.0,4530.0
2013-01-07,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4530.0,4530.0,4530.0
2013-01-08,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4530.0,4530.0,4530.0
2013-01-09,Others,Sugar (Imported),Kilogram,48.0,49.0,48.5,Quintal,4604.0,4604.0,4604.0
2013-01-10,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4520.0,4520.0,4520.0
2013-01-11,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-01-12,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-01-13,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4520.0,4520.0,4520.0
2013-01-14,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4510.0,4510.0,4510.0
2013-01-15,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4510.0,4510.0,4510.0
2013-01-16,Others,Sugar (Imported),Kilogram,47.0,49.0,48.0,Quintal,4578.0,4578.0,4578.0
2013-01-17,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4510.0,4510.0,4510.0
2013-01-18,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-01-19,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-01-20,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4500.0,4500.0,4500.0
2013-01-21,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4500.0,4500.0,4500.0
2013-01-22,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4500.0,4500.0,4500.0
2013-01-23,Others,Sugar (Imported),Kilogram,47.0,49.0,48.0,Quintal,4591.0,4591.0,4591.0
2013-01-24,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4500.0,4500.0,4500.0
2013-01-25,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-01-26,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-01-27,Others,Sugar (Imported),Kilogram,46.0,50.0,48.0,Quintal,4500.0,4500.0,4500.0
2013-01-28,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4520.0,4520.0,4520.0
2013-01-29,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4470.0,4470.0,4470.0
2013-01-30,Others,Sugar (Imported),Kilogram,47.0,49.0,48.0,Quintal,4601.0,4601.0,4601.0
2013-01-31,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4480.0,4480.0,4480.0
2013-02-01,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-02,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-03,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-04,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4480.0,4480.0,4480.0
2013-02-05,Others,Sugar (Imported),Kilogram,48.0,50.0,49.0,Quintal,4480.0,4480.0,4480.0
2013-02-06,Others,Sugar (Imported),Kilogram,47.0,49.0,48.0,Quintal,4582.0,4582.0,4582.0
2013-02-07,Others,Sugar (Imported),Kilogram,47.0,50.0,48.5,Quintal,4480.0,4480.0,4480.0
2013-02-08,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-09,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-10,Others,Sugar (Imported),Kilogram,47.0,50.0,48.5,Quintal,4480.0,4480.0,4480.0
2013-02-11,Others,Sugar (Imported),Kilogram,47.0,50.0,48.5,Quintal,4460.0,4460.0,4460.0
2013-02-12,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-13,Others,Sugar (Imported),Kilogram,47.0,48.0,47.5,Quintal,4592.0,4592.0,4592.0
2013-02-14,Others,Sugar (Imported),Kilogram,46.0,50.0,48.0,Quintal,4450.0,4450.0,4450.0
2013-02-15,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-16,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-17,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-18,Others,Sugar (Imported),Kilogram,47.0,50.0,48.5,Quintal,4420.0,4420.0,4420.0
2013-02-19,Others,Sugar (Imported),Kilogram,47.0,50.0,48.5,Quintal,4440.0,4440.0,4440.0
2013-02-20,Others,Sugar (Imported),Kilogram,47.0,48.0,47.5,Quintal,4576.0,4576.0,4576.0
2013-02-21,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-22,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-23,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-24,Others,Sugar (Imported),Kilogram,47.0,50.0,48.5,Quintal,4440.0,4440.0,4440.0
2013-02-25,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-02-26,Others,Sugar (Imported),Kilogram,47.0,50.0,48.5,Quintal,4380.0,4380.0,4380.0
2013-02-27,Others,Sugar (Imported),Kilogram,47.0,49.0,48.0,Quintal,4600.0,4600.0,4600.0
2013-02-28,Others,Sugar (Imported),Kilogram,46.0,48.0,47.0,Quintal,4350.0,4350.0,4350.0
2013-03-01,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-03-02,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-03-03,Others,Sugar (Imported),Kilogram,47.0,50.0,48.5,Quintal,4380.0,4380.0,4380.0
2013-03-04,Others,Sugar (Imported),Kilogram,47.0,50.0,48.5,Quintal,4380.0,4380.0,4380.0
2013-03-05,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
2013-03-06,Others,Sugar (Imported),Kilogram,47.0,48.0,47.5,Quintal,4565.0,4565.0,4565.0
2013-03-07,Others,Sugar (Imported),Kilogram,47.0,50.0,48.5,Quintal,,,
2013-03-08,Others,Sugar (Imported),Kilogram,,,,Quintal,,,
