,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Others,Sugar (Local),Kilogram,49.0,51.0,50.0,Quintal,4718.0,4718.0,4718.0
2013-01-03,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-04,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-05,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-06,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-07,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-08,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-09,Others,Sugar (Local),Kilogram,49.0,50.0,49.5,Quintal,4691.0,4691.0,4691.0
2013-01-10,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-11,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-12,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-13,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-14,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-15,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-16,Others,Sugar (Local),Kilogram,49.0,50.0,49.5,Quintal,4690.0,4690.0,4690.0
2013-01-17,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-18,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-19,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-20,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-21,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-22,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-23,Others,Sugar (Local),Kilogram,49.0,50.0,49.5,Quintal,4716.0,4716.0,4716.0
2013-01-24,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-25,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-26,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-27,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-28,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-29,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-01-30,Others,Sugar (Local),Kilogram,49.0,50.0,49.5,Quintal,4697.0,4697.0,4697.0
2013-01-31,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-02-01,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-02-02,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-02-03,Others,Sugar (Local),Kilogram,,,,Quintal,,,
2013-02-04,Others,Sugar (Local),Kilogram,,,,Quintal,,,
