,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2023-07-23,Poultry,Broiler chicken,Kilogram,162.0,167.0,164.5,Quintal,14850.0,14850.0,14850.0
2023-07-24,Poultry,Broiler chicken,Kilogram,162.0,167.0,164.5,Quintal,14850.0,14850.0,14850.0
2023-07-25,Poultry,Broiler chicken,Kilogram,162.0,167.0,164.5,Quintal,14750.0,14750.0,14750.0
2023-07-26,Poultry,Broiler chicken,Kilogram,162.0,167.0,164.5,Quintal,14750.0,14750.0,14750.0
2023-07-27,Poultry,Broiler chicken,Kilogram,167.0,172.0,169.5,Quintal,15500.0,15500.0,15500.0
2023-07-28,Poultry,Broiler chicken,Kilogram,,,,Quintal,,,
2023-07-29,Poultry,Broiler chicken,Kilogram,,,,Quintal,,,
2023-07-30,Poultry,Broiler chicken,Kilogram,165.0,170.0,167.5,Quintal,14750.0,14750.0,14750.0
2023-07-31,Poultry,Broiler chicken,Kilogram,165.0,170.0,167.5,Quintal,15000.0,15000.0,15000.0
2023-08-01,Poultry,Broiler chicken,Kilogram,167.0,172.0,169.5,Quintal,15350.0,15350.0,15350.0
2023-08-02,Poultry,Broiler chicken,Kilogram,167.0,172.0,169.5,Quintal,15250.0,15250.0,15250.0
2023-08-03,Poultry,Broiler chicken,Kilogram,173.0,178.0,175.5,Quintal,16250.0,16250.0,16250.0
2023-08-04,Poultry,Broiler chicken,Kilogram,,,,Quintal,,,
2023-08-05,Poultry,Broiler chicken,Kilogram,,,,Quintal,,,
2023-08-06,Poultry,Broiler chicken,Kilogram,173.0,178.0,175.5,Quintal,16100.0,16100.0,16100.0
2023-08-07,Poultry,Broiler chicken,Kilogram,173.0,178.0,175.5,Quintal,16100.0,16100.0,16100.0
2023-08-08,Poultry,Broiler chicken,Kilogram,172.0,177.0,174.5,Quintal,15850.0,15850.0,15850.0
2023-08-09,Poultry,Broiler chicken,Kilogram,172.0,177.0,174.5,Quintal,15850.0,15850.0,15850.0
2023-08-10,Poultry,Broiler chicken,Kilogram,172.0,177.0,174.5,Quintal,16100.0,16100.0,16100.0
2023-08-11,Poultry,Broiler chicken,Kilogram,,,,Quintal,,,
2023-08-12,Poultry,Broiler chicken,Kilogram,,,,Quintal,,,
2023-08-13,Poultry,Broiler chicken,Kilogram,173.0,178.0,175.5,Quintal,16100.0,16100.0,16100.0
2023-08-14,Poultry,Broiler chicken,Kilogram,173.0,178.0,175.5,Quintal,16100.0,16100.0,16100.0
2023-08-15,Poultry,Broiler chicken,Kilogram,180.0,185.0,182.5,Quintal,,,
2023-08-16,Poultry,Broiler chicken,Kilogram,175.0,179.0,177.0,Quintal,16400.0,16400.0,16400.0
2023-08-17,Poultry,Broiler chicken,Kilogram,175.0,179.0,177.0,Quintal,16400.0,16400.0,16400.0
2023-08-18,Poultry,Broiler chicken,Kilogram,,,,Quintal,,,
2023-08-19,Poultry,Broiler chicken,Kilogram,,,,Quintal,,,
2023-08-20,Poultry,Broiler chicken,Kilogram,170.0,176.0,173.0,Quintal,15733.0,15733.0,15733.0
2023-08-21,Poultry,Broiler chicken,Kilogram,167.0,172.0,169.5,Quintal,15100.0,15100.0,15100.0
2023-08-22,Poultry,Broiler chicken,Kilogram,163.0,168.0,165.5,Quintal,14200.0,14200.0,14200.0
2023-08-23,Poultry,Broiler chicken,Kilogram,168.0,173.0,170.5,Quintal,15200.0,15200.0,15200.0
2023-08-24,Poultry,Broiler chicken,Kilogram,170.0,175.0,172.5,Quintal,15850.0,15850.0,15850.0
2023-08-25,Poultry,Broiler chicken,Kilogram,,,,Quintal,,,
2023-08-26,Poultry,Broiler chicken,Kilogram,,,,Quintal,,,
