,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Poultry,Farm-raised Hen,Kilogram,140.0,160.0,150.0,Quintal,14500.0,14500.0,14500.0
2013-01-02,Poultry,Farm-raised Hen,Kilogram,134.0,140.0,137.0,Quintal,12921.0,12921.0,12921.0
2013-01-03,Poultry,Farm-raised Hen,Kilogram,145.0,160.0,152.5,Quintal,14500.0,14500.0,14500.0
2013-01-04,Poultry,Farm-raised Hen,Kilogram,,,,Quintal,,,
2013-01-05,Poultry,Farm-raised Hen,Kilogram,,,,Quintal,,,
2013-01-06,Poultry,Farm-raised Hen,Kilogram,150.0,160.0,155.0,Quintal,14500.0,14500.0,14500.0
2013-01-07,Poultry,Farm-raised Hen,Kilogram,150.0,160.0,155.0,Quintal,14500.0,14500.0,14500.0
2013-01-08,Poultry,Farm-raised Hen,Kilogram,150.0,160.0,155.0,Quintal,14500.0,14500.0,14500.0
2013-01-09,Poultry,Farm-raised Hen,Kilogram,137.0,142.0,139.5,Quintal,13469.0,13469.0,13469.0
2013-01-10,Poultry,Farm-raised Hen,Kilogram,150.0,160.0,155.0,Quintal,15200.0,15200.0,15200.0
2013-01-11,Poultry,Farm-raised Hen,Kilogram,,,,Quintal,,,
2013-01-12,Poultry,Farm-raised Hen,Kilogram,,,,Quintal,,,
2013-01-13,Poultry,Farm-raised Hen,Kilogram,145.0,160.0,152.5,Quintal,15200.0,15200.0,15200.0
2013-01-14,Poultry,Farm-raised Hen,Kilogram,145.0,150.0,147.5,Quintal,14500.0,14500.0,14500.0
2013-01-15,Poultry,Farm-raised Hen,Kilogram,145.0,150.0,147.5,Quintal,14500.0,14500.0,14500.0
2013-01-16,Poultry,Farm-raised Hen,Kilogram,138.0,144.0,141.0,Quintal,13387.0,13387.0,13387.0
2013-01-17,Poultry,Farm-raised Hen,Kilogram,140.0,155.0,147.5,Quintal,14800.0,14800.0,14800.0
2013-01-18,Poultry,Farm-raised Hen,Kilogram,,,,Quintal,,,
2013-01-19,Poultry,Farm-raised Hen,Kilogram,,,,Quintal,,,
2013-01-20,Poultry,Farm-raised Hen,Kilogram,145.0,155.0,150.0,Quintal,14800.0,14800.0,14800.0
2013-01-21,Poultry,Farm-raised Hen,Kilogram,145.0,150.0,147.5,Quintal,14500.0,14500.0,14500.0
2013-01-22,Poultry,Farm-raised Hen,Kilogram,145.0,150.0,147.5,Quintal,14500.0,14500.0,14500.0
