,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2014-07-16,Poultry,Local Duck - Small (500-600 gm),Kilogram,315.0,320.0,317.5,Quintal,,,
2014-07-17,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-18,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-19,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-20,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-21,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-22,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-23,Poultry,Local Duck - Small (500-600 gm),Kilogram,315.0,320.0,317.5,Quintal,,,
2014-07-24,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-25,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-26,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-27,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-28,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-29,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-30,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-07-31,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-01,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-02,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-03,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-04,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-05,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-06,Poultry,Local Duck - Small (500-600 gm),Kilogram,315.0,320.0,317.5,Quintal,,,
2014-08-07,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-08,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-09,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-10,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-11,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-12,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-13,Poultry,Local Duck - Small (500-600 gm),Kilogram,315.0,320.0,317.5,Quintal,,,
2014-08-14,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-15,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-16,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-17,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-18,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-19,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-20,Poultry,Local Duck - Small (500-600 gm),Kilogram,315.0,320.0,317.5,Quintal,,,
2014-08-21,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-22,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-23,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-24,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-25,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-26,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-27,Poultry,Local Duck - Small (500-600 gm),Kilogram,325.0,330.0,327.5,Quintal,,,
2014-08-28,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-29,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-30,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-08-31,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-01,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-02,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-03,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-04,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-05,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-06,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-07,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-08,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-09,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-10,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-11,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-12,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-13,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-14,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-15,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-16,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-17,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-18,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-19,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-20,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-21,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-22,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-23,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-24,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-25,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-26,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-27,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-28,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
2014-09-29,Poultry,Local Duck - Small (500-600 gm),Kilogram,,,,Quintal,,,
