,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-02,Poultry,Local Hen - Big (above 900 gm),Kilogram,258.0,268.0,263.0,Quintal,24970.0,24970.0,24970.0
2013-01-03,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-04,Poultry,Local Hen - Big (above 900 gm),Kilogram,,,,Quintal,,,
2013-01-05,Poultry,Local Hen - Big (above 900 gm),Kilogram,,,,Quintal,,,
2013-01-06,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-07,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-08,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-09,Poultry,Local Hen - Big (above 900 gm),Kilogram,254.0,266.0,260.0,Quintal,24522.0,24522.0,24522.0
2013-01-10,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-11,Poultry,Local Hen - Big (above 900 gm),Kilogram,,,,Quintal,,,
2013-01-12,Poultry,Local Hen - Big (above 900 gm),Kilogram,,,,Quintal,,,
2013-01-13,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-14,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-15,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-16,Poultry,Local Hen - Big (above 900 gm),Kilogram,257.0,267.0,262.0,Quintal,24627.0,24627.0,24627.0
2013-01-17,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-18,Poultry,Local Hen - Big (above 900 gm),Kilogram,,,,Quintal,,,
2013-01-19,Poultry,Local Hen - Big (above 900 gm),Kilogram,,,,Quintal,,,
2013-01-20,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-21,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-22,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-23,Poultry,Local Hen - Big (above 900 gm),Kilogram,253.0,263.0,258.0,Quintal,24890.0,24890.0,24890.0
2013-01-24,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
2013-01-25,Poultry,Local Hen - Big (above 900 gm),Kilogram,,,,Quintal,,,
2013-01-26,Poultry,Local Hen - Big (above 900 gm),Kilogram,,,,Quintal,,,
2013-01-27,Poultry,Local Hen - Big (above 900 gm),Kilogram,360.0,400.0,380.0,Quintal,34000.0,34000.0,34000.0
