,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-02,Poultry,Local Hen - Medium (700-850 gm),Kilogram,260.0,270.0,265.0,Quintal,24886.0,24886.0,24886.0
2013-01-03,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-04,Poultry,Local Hen - Medium (700-850 gm),Kilogram,,,,Quintal,,,
2013-01-05,Poultry,Local Hen - Medium (700-850 gm),Kilogram,,,,Quintal,,,
2013-01-06,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-07,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-08,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-09,Poultry,Local Hen - Medium (700-850 gm),Kilogram,259.0,270.0,264.5,Quintal,24814.0,24814.0,24814.0
2013-01-10,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-11,Poultry,Local Hen - Medium (700-850 gm),Kilogram,,,,Quintal,,,
2013-01-12,Poultry,Local Hen - Medium (700-850 gm),Kilogram,,,,Quintal,,,
2013-01-13,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-14,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-15,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-16,Poultry,Local Hen - Medium (700-850 gm),Kilogram,258.0,269.0,263.5,Quintal,24600.0,24600.0,24600.0
2013-01-17,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-18,Poultry,Local Hen - Medium (700-850 gm),Kilogram,,,,Quintal,,,
2013-01-19,Poultry,Local Hen - Medium (700-850 gm),Kilogram,,,,Quintal,,,
2013-01-20,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
2013-01-21,Poultry,Local Hen - Medium (700-850 gm),Kilogram,300.0,340.0,320.0,Quintal,31000.0,31000.0,31000.0
