,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2023-07-20,Poultry,Sonali Chicken,Kilogram,280.0,310.0,295.0,Quintal,28000.0,28000.0,28000.0
2023-07-21,Poultry,Sonali Chicken,Kilogram,,,,Quintal,,,
2023-07-22,Poultry,Sonali Chicken,Kilogram,,,,Quintal,,,
2023-07-23,Poultry,Sonali Chicken,Kilogram,265.0,283.0,274.0,Quintal,26900.0,26900.0,26900.0
2023-07-24,Poultry,Sonali Chicken,Kilogram,263.0,290.0,276.5,Quintal,27000.0,27000.0,27000.0
2023-07-25,Poultry,Sonali Chicken,Kilogram,263.0,290.0,276.5,Quintal,27000.0,27000.0,27000.0
2023-07-26,Poultry,Sonali Chicken,Kilogram,265.0,283.0,274.0,Quintal,26900.0,26900.0,26900.0
2023-07-27,Poultry,Sonali Chicken,Kilogram,265.0,283.0,274.0,Quintal,26900.0,26900.0,26900.0
2023-07-28,Poultry,Sonali Chicken,Kilogram,,,,Quintal,,,
2023-07-29,Poultry,Sonali Chicken,Kilogram,,,,Quintal,,,
2023-07-30,Poultry,Sonali Chicken,Kilogram,259.0,275.0,267.0,Quintal,25600.0,25600.0,25600.0
2023-07-31,Poultry,Sonali Chicken,Kilogram,265.0,283.0,274.0,Quintal,26900.0,26900.0,26900.0
2023-08-01,Poultry,Sonali Chicken,Kilogram,265.0,283.0,274.0,Quintal,26900.0,26900.0,26900.0
2023-08-02,Poultry,Sonali Chicken,Kilogram,267.0,283.0,275.0,Quintal,27000.0,27000.0,27000.0
2023-08-03,Poultry,Sonali Chicken,Kilogram,267.0,283.0,275.0,Quintal,27000.0,27000.0,27000.0
2023-08-04,Poultry,Sonali Chicken,Kilogram,,,,Quintal,,,
2023-08-05,Poultry,Sonali Chicken,Kilogram,,,,Quintal,,,
2023-08-06,Poultry,Sonali Chicken,Kilogram,275.0,292.0,283.5,Quintal,28000.0,28000.0,28000.0
2023-08-07,Poultry,Sonali Chicken,Kilogram,277.0,297.0,287.0,Quintal,27750.0,27750.0,27750.0
2023-08-08,Poultry,Sonali Chicken,Kilogram,275.0,292.0,283.5,Quintal,28000.0,28000.0,28000.0
