,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Spices,Black Pepper(Golmorich),10 gm,9.0,10.0,9.5,Kilogram,925.0,925.0,925.0
2013-01-03,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-04,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-05,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-06,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-07,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-08,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-09,Spices,Black Pepper(Golmorich),10 gm,9.0,10.0,9.5,Kilogram,930.0,930.0,930.0
2013-01-10,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-11,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-12,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-13,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-14,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-15,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-16,Spices,Black Pepper(Golmorich),10 gm,9.0,10.0,9.5,Kilogram,916.0,916.0,916.0
2013-01-17,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-18,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-19,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-20,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-21,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-22,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-23,Spices,Black Pepper(Golmorich),10 gm,10.0,10.0,10.0,Kilogram,920.0,920.0,920.0
2013-01-24,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-25,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-26,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-27,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-28,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-29,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-01-30,Spices,Black Pepper(Golmorich),10 gm,13.0,14.0,13.5,Kilogram,926.0,926.0,926.0
2013-01-31,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-01,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-02,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-03,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-04,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-05,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-06,Spices,Black Pepper(Golmorich),10 gm,13.0,14.0,13.5,Kilogram,928.0,928.0,928.0
2013-02-07,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-08,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-09,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-10,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-11,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-12,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-13,Spices,Black Pepper(Golmorich),10 gm,10.0,10.0,10.0,Kilogram,922.0,922.0,922.0
2013-02-14,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-15,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-16,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-17,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-18,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-19,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-20,Spices,Black Pepper(Golmorich),10 gm,12.0,12.0,12.0,Kilogram,1084.0,1084.0,1084.0
2013-02-21,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-22,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-23,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-24,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-25,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-26,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-02-27,Spices,Black Pepper(Golmorich),10 gm,12.0,13.0,12.5,Kilogram,1100.0,1100.0,1100.0
2013-02-28,Spices,Black Pepper(Golmorich),10 gm,8.0,9.0,8.5,Kilogram,780.0,780.0,780.0
2013-03-01,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-02,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-03,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-04,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-05,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-06,Spices,Black Pepper(Golmorich),10 gm,12.0,13.0,12.5,Kilogram,1094.0,1094.0,1094.0
2013-03-07,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-08,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-09,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-10,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-11,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-12,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-13,Spices,Black Pepper(Golmorich),10 gm,12.0,13.0,12.5,Kilogram,1073.0,1073.0,1073.0
2013-03-14,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-15,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-16,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-17,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-18,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-19,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-20,Spices,Black Pepper(Golmorich),10 gm,13.0,13.0,13.0,Kilogram,1123.0,1123.0,1123.0
2013-03-21,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-22,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-23,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-24,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-25,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-26,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-27,Spices,Black Pepper(Golmorich),10 gm,12.0,13.0,12.5,Kilogram,1098.0,1098.0,1098.0
2013-03-28,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-29,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
2013-03-30,Spices,Black Pepper(Golmorich),10 gm,,,,Kilogram,,,
