,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Spices,Cardamom - Big,10 gm,16.0,18.0,17.0,Kilogram,1658.0,1658.0,1658.0
2013-01-03,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-04,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-05,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-06,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-07,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-08,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-09,Spices,Cardamom - Big,10 gm,16.0,18.0,17.0,Kilogram,1675.0,1675.0,1675.0
2013-01-10,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-11,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-12,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-13,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-14,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-15,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-16,Spices,Cardamom - Big,10 gm,17.0,18.0,17.5,Kilogram,1679.0,1679.0,1679.0
2013-01-17,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-18,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-19,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-20,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-21,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-22,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-23,Spices,Cardamom - Big,10 gm,17.0,18.0,17.5,Kilogram,1669.0,1669.0,1669.0
2013-01-24,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-25,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-26,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-27,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-28,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-29,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-01-30,Spices,Cardamom - Big,10 gm,24.0,25.0,24.5,Kilogram,1660.0,1660.0,1660.0
2013-01-31,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-01,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-02,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-03,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-04,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-05,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-06,Spices,Cardamom - Big,10 gm,24.0,25.0,24.5,Kilogram,1677.0,1677.0,1677.0
2013-02-07,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-08,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-09,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-10,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-11,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-12,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-13,Spices,Cardamom - Big,10 gm,16.0,17.0,16.5,Kilogram,1725.0,1725.0,1725.0
2013-02-14,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-15,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-16,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-17,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-18,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-19,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-20,Spices,Cardamom - Big,10 gm,16.0,17.0,16.5,Kilogram,1710.0,1710.0,1710.0
2013-02-21,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-22,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-23,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-24,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-25,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-26,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-02-27,Spices,Cardamom - Big,10 gm,16.0,17.0,16.5,Kilogram,1690.0,1690.0,1690.0
2013-02-28,Spices,Cardamom - Big,10 gm,18.0,19.0,18.5,Kilogram,1300.0,1300.0,1300.0
2013-03-01,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-02,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-03,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-04,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-05,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-06,Spices,Cardamom - Big,10 gm,16.0,17.0,16.5,Kilogram,1727.0,1727.0,1727.0
2013-03-07,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-08,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-09,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-10,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-11,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-12,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-13,Spices,Cardamom - Big,10 gm,16.0,17.0,16.5,Kilogram,1654.0,1654.0,1654.0
2013-03-14,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-15,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-16,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-17,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-18,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-19,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-20,Spices,Cardamom - Big,10 gm,16.0,17.0,16.5,Kilogram,1618.0,1618.0,1618.0
2013-03-21,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-22,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-23,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-24,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-25,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-26,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-27,Spices,Cardamom - Big,10 gm,16.0,17.0,16.5,Kilogram,1618.0,1618.0,1618.0
2013-03-28,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-29,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-30,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-03-31,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-04-01,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-04-02,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-04-03,Spices,Cardamom - Big,10 gm,16.0,17.0,16.5,Kilogram,1618.0,1618.0,1618.0
2013-04-04,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-04-05,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-04-06,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
2013-04-07,Spices,Cardamom - Big,10 gm,,,,Kilogram,,,
