,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Spices,Cardamom - Small,10 gm,15.0,17.0,16.0,Kilogram,1569.0,1569.0,1569.0
2013-01-03,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-04,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-05,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-06,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-07,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-08,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-09,Spices,Cardamom - Small,10 gm,15.0,17.0,16.0,Kilogram,1600.0,1600.0,1600.0
2013-01-10,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-11,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-12,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-13,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-14,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-15,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-16,Spices,Cardamom - Small,10 gm,16.0,17.0,16.5,Kilogram,1557.0,1557.0,1557.0
2013-01-17,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-18,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-19,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-20,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-21,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-22,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-23,Spices,Cardamom - Small,10 gm,16.0,17.0,16.5,Kilogram,1521.0,1521.0,1521.0
2013-01-24,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-25,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-26,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-27,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-28,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-29,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-01-30,Spices,Cardamom - Small,10 gm,21.0,23.0,22.0,Kilogram,1507.0,1507.0,1507.0
2013-01-31,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-01,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-02,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-03,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-04,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-05,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-06,Spices,Cardamom - Small,10 gm,20.0,23.0,21.5,Kilogram,1538.0,1538.0,1538.0
2013-02-07,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-08,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-09,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-10,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-11,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-12,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-13,Spices,Cardamom - Small,10 gm,15.0,17.0,16.0,Kilogram,1554.0,1554.0,1554.0
2013-02-14,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-15,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-16,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-17,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-18,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-19,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-20,Spices,Cardamom - Small,10 gm,15.0,17.0,16.0,Kilogram,1546.0,1546.0,1546.0
2013-02-21,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-22,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-23,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-24,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-25,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-26,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-02-27,Spices,Cardamom - Small,10 gm,16.0,17.0,16.5,Kilogram,1573.0,1573.0,1573.0
2013-02-28,Spices,Cardamom - Small,10 gm,16.0,17.0,16.5,Kilogram,1400.0,1400.0,1400.0
2013-03-01,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-02,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-03,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-04,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-05,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-06,Spices,Cardamom - Small,10 gm,15.0,17.0,16.0,Kilogram,1550.0,1550.0,1550.0
2013-03-07,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-08,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-09,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-10,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-11,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-12,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-13,Spices,Cardamom - Small,10 gm,15.0,17.0,16.0,Kilogram,1529.0,1529.0,1529.0
2013-03-14,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-15,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-16,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-17,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-18,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-19,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-20,Spices,Cardamom - Small,10 gm,14.0,16.0,15.0,Kilogram,1483.0,1483.0,1483.0
2013-03-21,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-22,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-23,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-24,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-25,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-26,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-27,Spices,Cardamom - Small,10 gm,14.0,16.0,15.0,Kilogram,1482.0,1482.0,1482.0
2013-03-28,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-29,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-30,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-03-31,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-01,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-02,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-03,Spices,Cardamom - Small,10 gm,14.0,16.0,15.0,Kilogram,1475.0,1475.0,1475.0
2013-04-04,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-05,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-06,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-07,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-08,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-09,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-10,Spices,Cardamom - Small,10 gm,14.0,16.0,15.0,Kilogram,1482.0,1482.0,1482.0
2013-04-11,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-12,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-13,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-14,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-15,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-16,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-17,Spices,Cardamom - Small,10 gm,15.0,17.0,16.0,Kilogram,1475.0,1475.0,1475.0
2013-04-18,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-19,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-20,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
2013-04-21,Spices,Cardamom - Small,10 gm,,,,Kilogram,,,
