,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Spices,Coriander Seed (Old),Kilogram,59.0,66.0,62.5,Quintal,5443.0,5443.0,5443.0
2013-01-03,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-04,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-05,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-06,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-07,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-08,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-09,Spices,Coriander Seed (Old),Kilogram,59.0,66.0,62.5,Quintal,5500.0,5500.0,5500.0
2013-01-10,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-11,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-12,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-13,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-14,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-15,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-16,Spices,Coriander Seed (Old),Kilogram,62.0,68.0,65.0,Quintal,5588.0,5588.0,5588.0
2013-01-17,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-18,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-19,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-20,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-21,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-22,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-23,Spices,Coriander Seed (Old),Kilogram,60.0,64.0,62.0,Quintal,5575.0,5575.0,5575.0
2013-01-24,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-25,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-26,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-27,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-28,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-29,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-01-30,Spices,Coriander Seed (Old),Kilogram,59.0,64.0,61.5,Quintal,5600.0,5600.0,5600.0
2013-01-31,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-02-01,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-02-02,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
2013-02-03,Spices,Coriander Seed (Old),Kilogram,,,,Quintal,,,
